region_id,row,col,true_econ,nightlight,aging,biz,decline,nl_lag,decline_lag,pred_decline,priority_rank
113,7,8,-0.752,-0.3398,0.2948,21.0455,4.8342,-0.5075,3.1058,4.6691,86
52,3,7,-0.591,-0.905,0.3355,35.7735,4.066,0.0386,3.4854,4.6284,87
38,2,8,-0.6157,0.0197,0.3043,38.2534,5.1681,-0.0033,4.2855,4.5911,88
127,8,7,-0.8532,0.0933,0.3242,29.9784,3.9888,-0.6828,4.1889,4.5835,89
24,1,9,-0.6452,0.3561,0.3028,31.2604,4.1709,0.0005,4.897,4.4322,90
275,18,5,-0.4561,-1.2563,0.2186,24.9253,3.6076,-0.5171,4.5182,4.412,91
242,16,2,-0.7199,-0.5837,0.3458,19.3523,3.9148,-0.3267,3.5077,4.4057,92
248,16,8,-0.5588,-0.17,0.2623,39.4092,4.6813,-1.5668,7.2251,4.3509,93
5,0,5,-0.831,-1.4101,0.3161,42.3902,4.4788,-0.3963,3.6209,4.3241,94
146,9,11,-0.3328,0.2541,0.3239,32.78,4.4986,-0.6429,3.8643,4.2369,95
37,2,7,-0.5685,-0.3969,0.2507,32.6504,4.5112,-0.1931,3.9862,4.2154,96
291,19,6,-0.5366,-0.3997,0.2655,39.6054,4.2668,-0.2493,4.6811,4.2085,97
211,14,1,-0.5198,-0.6833,0.2639,32.1325,5.2497,0.1106,1.9309,4.1972,98
129,8,9,-0.7108,-0.4947,0.2591,37.7438,4.9014,-0.9253,3.8431,4.1925,99
156,10,6,-0.773,-0.1811,0.2688,31.6226,4.5819,-0.6859,5.184,4.1401,100
258,17,3,-0.1987,-0.8831,0.2038,22.9109,4.2409,-0.6655,3.3666,4.1165,101
239,15,14,-0.3178,-0.7504,0.259,36.2096,4.4912,-0.5321,3.9053,4.0902,102
154,10,4,-0.1721,-0.1339,0.3139,29.6715,4.9421,0.482,2.6457,4.0688,103
197,13,2,-0.313,-0.4976,0.3006,39.2108,3.6203,-0.6403,3.2569,4.0543,104
237,15,12,-0.8305,-0.1992,0.3427,30.2578,3.2239,-1.0495,5.0637,4.0403,105
184,12,4,-0.5255,-0.5567,0.2819,34.3562,2.8492,-0.7177,4.2504,3.9306,106
143,9,8,-0.6539,0.0724,0.2334,32.7644,4.0855,-1.2501,5.6196,3.9167,107
295,19,10,-0.4482,-0.6812,0.3084,46.3839,3.4813,-1.2906,4.537,3.9094,108
253,16,13,-0.644,0.4753,0.2896,28.9037,4.0182,-0.4465,3.18,3.7676,109
244,16,4,0.0651,-0.0742,0.25,40.8688,3.3397,-1.0911,6.4929,3.7129,110
22,1,7,-0.0629,0.5813,0.2618,39.9607,3.7444,-0.3893,4.9681,3.6412,111
4,0,4,-0.7103,-0.744,0.2735,27.7431,3.7042,-0.3877,2.4706,3.6361,112
39,2,9,0.0393,0.3741,0.2634,45.667,4.099,-0.0415,3.632,3.5912,113
112,7,7,-0.3762,-0.7492,0.2415,32.4816,3.0301,-0.4059,3.5159,3.5385,114
25,1,10,-0.3861,0.0158,0.2572,46.6597,3.9783,-0.1923,3.2226,3.4836,115
292,19,7,-0.231,0.7707,0.2516,35.6883,3.3153,-1.3192,5.5408,3.4677,116
176,11,11,-0.1112,0.474,0.2239,46.5803,3.7837,-1.0068,5.3117,3.4247,117
212,14,2,-0.2182,-0.1635,0.2707,30.4682,2.3928,-0.3417,4.2202,3.3788,118
252,16,12,0.0239,0.187,0.2758,41.9229,2.9208,-0.2318,3.7277,3.3764,119
266,17,11,-0.7233,-0.8111,0.2531,46.0647,3.6086,-0.8299,4.8256,3.3664,120
70,4,10,-0.1254,-0.1191,0.2811,36.7989,4.223,0.4388,2.2393,3.3557,121
130,8,10,-0.2772,-0.8495,0.2801,43.7995,2.413,-0.4812,4.4044,3.3312,122
296,19,11,-0.075,-0.3613,0.2342,31.7319,3.1615,-0.6615,3.7327,3.3306,123
36,2,6,-0.0994,-0.4686,0.2503,31.9016,2.9662,-0.0564,3.1578,3.3106,124
114,7,9,-0.0807,-0.2374,0.2485,32.7613,3.6148,-0.3666,3.9991,3.2989,125
10,0,10,-0.2294,0.4181,0.2327,32.7361,4.0202,0.0514,4.1296,3.2884,126
53,3,8,-0.2132,0.2344,0.2297,30.4674,3.3222,-0.001,3.5391,3.271,127
254,16,14,-0.0722,-0.1201,0.2627,43.3202,4.1061,0.0239,3.0369,3.255,128
209,13,14,-0.2154,0.0403,0.2694,42.456,3.6581,-0.2946,3.1604,3.2303,129
67,4,7,-0.0906,-0.5428,0.2699,34.4602,3.3263,-0.4029,2.1525,3.225,130
183,12,3,0.102,0.4214,0.2707,41.5953,2.6845,-0.4414,3.6285,3.1686,131
84,5,9,-0.3031,-1.1838,0.2551,38.6087,3.221,-0.1985,2.3397,3.1551,132
168,11,3,-0.1344,0.4738,0.2197,47.0574,3.8329,0.5152,3.4348,3.1459,133
182,12,2,-0.1561,-0.1058,0.3133,40.722,2.9876,0.615,2.0018,3.0605,134
155,10,5,0.1516,0.2397,0.275,50.6512,3.2696,-0.3338,4.2006,3.0592,135
195,13,0,-0.2153,0.2993,0.2592,44.7746,4.3582,-0.0882,1.9528,3.049,136
55,3,10,-0.0077,0.1204,0.26,48.131,2.2607,-0.0185,2.7177,3.0371,137
153,10,3,0.0349,1.1773,0.3094,55.0899,3.359,0.5611,2.6501,3.019,138
177,11,12,-0.2748,-0.9029,0.2784,53.5575,3.4532,-0.1328,2.7823,3.0187,139
196,13,1,0.2926,-0.7146,0.2623,52.9867,2.803,0.0504,3.1341,3.0187,139
290,19,5,-0.3856,-1.058,0.2481,44.5629,2.9986,-0.2443,3.2919,2.9993,141
54,3,9,-0.1741,0.4136,0.2781,33.6382,2.6742,0.3121,3.0372,2.9681,142
178,11,13,-0.0195,-0.016,0.253,36.2463,2.9845,0.1014,2.7051,2.958,143
257,17,2,0.0262,-0.5416,0.2612,49.152,2.8784,-0.1941,3.0477,2.9209,144
131,8,11,-0.3231,-0.062,0.2711,37.3398,2.387,0.3207,2.0884,2.9144,145
241,16,1,0.1228,-0.3317,0.2437,27.5556,2.5987,0.074,2.5608,2.8632,146
99,6,9,-0.2747,-0.6623,0.2604,41.6462,2.4434,-0.2374,2.5955,2.8587,147
224,14,14,-0.1208,0.6513,0.2014,37.445,3.1317,-0.5573,4.6207,2.8344,148
111,7,6,0.133,-1.1505,0.2631,50.2494,2.8014,-0.0322,1.8408,2.8284,149
19,1,4,0.3198,-0.3283,0.2743,32.5524,2.8842,0.5102,1.2782,2.8269,150
140,9,5,-0.047,-0.1511,0.2829,33.707,2.3029,0.2682,2.6117,2.8199,151
163,10,13,0.0085,-1.1316,0.2686,46.8957,2.8765,0.4598,0.7247,2.7022,152
193,12,13,0.3371,0.5867,0.2415,45.1269,2.407,-0.6078,3.4879,2.6875,153
20,1,5,-0.0978,0.3325,0.2426,36.9187,2.8806,-0.6067,3.1752,2.6483,154
97,6,7,-0.3525,-0.2264,0.2422,36.4969,2.4392,-0.2774,1.8001,2.623,155
267,17,12,-0.275,-0.6341,0.2543,47.5103,1.9887,-0.0713,2.4169,2.6124,156
126,8,6,0.3455,0.7875,0.2377,31.0647,2.4114,-0.4315,3.8287,2.6057,157
227,15,2,0.5191,0.5914,0.2153,45.6387,2.139,0.0844,3.3302,2.5774,158
240,16,0,-0.0989,-1.0265,0.3131,49.1256,2.4579,0.0628,1.4513,2.5075,159
298,19,13,-0.1178,0.0151,0.2714,47.4953,2.9797,0.0991,0.6591,2.4951,160
82,5,7,-0.0307,-0.912,0.2894,41.0084,1.366,-0.1946,2.3661,2.3583,161
210,14,0,0.4044,-0.4541,0.2197,53.7774,1.589,-0.1485,3.5794,2.329,162
125,8,5,0.2306,0.0337,0.28,40.5805,2.7762,0.1557,1.2973,2.3015,163
83,5,8,-0.0909,-0.7793,0.2398,43.3228,3.1509,-0.3032,2.0501,2.2798,164
100,6,10,0.1553,0.0565,0.2741,41.5081,2.1809,0.1807,1.3012,2.2654,165
51,3,6,0.3942,0.8598,0.2211,47.4407,2.7819,-0.2162,2.436,2.2071,166
115,7,10,-0.0784,0.0304,0.2182,32.9334,3.8175,0.0268,2.1445,2.202,167
11,0,11,0.06,0.3015,0.2535,43.1027,2.1093,0.318,2.4742,2.1977,168
71,4,11,0.2566,0.9875,0.2428,42.4416,2.9322,0.6057,1.2949,2.1845,169
256,17,1,0.5459,0.1314,0.2273,46.5585,2.9317,0.1137,1.7983,2.0688,170
26,1,11,0.2769,-0.5877,0.221,42.3047,2.1844,0.3981,1.8645,2.0393,171
69,4,9,0.0552,0.5196,0.1697,40.8699,2.467,-0.1054,3.0916,2.0042,172
194,12,14,-0.3452,-0.5149,0.2171,31.9218,1.574,0.8268,2.7163,2.0026,173
42,2,12,0.4728,0.5125,0.2832,48.6188,2.4707,1.0819,-0.2604,1.9829,174
297,19,12,0.0459,0.4928,0.2214,34.9917,1.4115,-0.0939,2.6881,1.9597,175
40,2,10,0.3046,-0.9556,0.1869,44.925,2.5148,0.3086,2.7243,1.9551,176
81,5,6,0.0501,0.7703,0.2657,31.4164,0.548,-0.0502,1.273,1.9305,177
68,4,8,0.3565,0.4678,0.2129,49.8244,2.2482,-0.142,3.0666,1.8996,178
147,9,12,0.2196,0.0373,0.2523,45.8912,1.2408,0.6342,1.405,1.8717,179
98,6,8,0.1236,0.4151,0.2151,42.268,1.3651,-0.502,3.2169,1.8514,180
282,18,12,0.226,0.0645,0.2031,37.9112,1.9231,-0.5298,2.8029,1.7961,181
109,7,4,0.0593,-0.6538,0.2659,42.9841,1.5389,0.2324,-0.5466,1.7736,182
268,17,13,-0.0273,0.2744,0.2341,37.2021,1.2151,0.0015,2.0286,1.7728,183
167,11,2,0.3874,1.4528,0.2101,47.3786,2.3942,0.497,1.9102,1.7395,184
225,15,0,0.1818,-0.0616,0.24,40.5609,1.1304,0.098,1.6619,1.6894,185
50,3,5,0.5688,0.7714,0.2713,36.4847,1.782,1.0569,0.2118,1.6765,186
95,6,5,-0.0247,0.0513,0.228,41.8199,2.7953,0.3268,1.1784,1.5911,187
27,1,12,0.5876,0.5508,0.2556,49.5344,0.8109,0.3425,1.364,1.424,188
96,6,6,-0.2818,0.1363,0.1973,41.2192,1.4392,-0.1388,2.146,1.4175,189
41,2,11,0.5568,0.7242,0.2376,51.9998,0.5594,-0.111,2.1572,1.3774,190
269,17,14,0.2434,0.3468,0.234,40.7394,0.6014,0.2176,2.4476,1.3763,191
272,18,2,0.4148,0.5589,0.2468,44.2764,1.1031,0.2403,0.3508,1.2941,192
284,18,14,0.1057,0.4986,0.2109,41.2044,2.0217,0.0504,0.3891,1.2667,193
152,10,2,-0.0986,0.9744,0.2255,39.4745,1.4156,0.9392,1.753,1.2267,194
270,18,0,0.4656,-0.3309,0.2304,38.6914,1.0022,1.0997,0.3914,1.2229,195
110,7,5,0.5117,-0.3035,0.2189,38.7317,0.4823,-0.4298,2.478,1.215,196
132,8,12,0.813,0.7409,0.2177,46.7539,1.0728,0.345,0.9343,1.127,197
283,18,13,0.4077,-0.182,0.1904,48.6895,1.5059,0.2131,2.0349,1.0473,198
94,6,4,0.2508,0.6368,0.2102,42.3507,1.4347,0.3708,0.073,1.0362,199
289,19,4,0.0371,0.9232,0.1967,39.5989,2.0012,-0.0425,1.5665,1.0161,200
274,18,4,0.3602,0.4646,0.1716,43.8134,1.0327,-0.3571,2.4455,1.0114,201
151,10,1,0.3559,0.5478,0.2197,43.047,1.4671,0.7996,0.2278,0.9801,202
135,9,0,0.7524,0.4197,0.2096,49.021,1.4903,0.8926,-0.5231,0.9769,203
85,5,10,0.5646,0.1278,0.2018,50.5672,1.2974,-0.1186,2.3675,0.9094,204
226,15,1,0.9743,1.7746,0.1925,62.3195,0.9389,-0.1213,2.7795,0.9058,205
66,4,6,0.1465,-0.2625,0.1927,40.2227,0.9297,0.6964,1.5383,0.8839,206
162,10,12,0.7652,-0.1091,0.2263,46.4431,-0.2568,-0.7863,3.222,0.8668,207
179,11,14,0.4245,1.8532,0.1855,53.7058,2.0837,-0.0725,1.4747,0.8111,208
56,3,11,0.4581,0.587,0.1964,42.5929,1.4589,0.8708,1.1029,0.7838,209
255,17,0,0.7504,0.5815,0.2054,49.6686,0.6247,-0.4087,2.1306,0.7809,210
134,8,14,0.6669,1.1774,0.2183,44.8348,0.602,1.0555,-0.6489,0.7541,211
80,5,5,0.7781,0.8374,0.2278,52.1173,1.3573,0.7806,0.6266,0.7497,212
180,12,0,0.7815,0.9042,0.2016,50.8409,1.4663,0.439,1.6942,0.7485,213
35,2,5,0.6757,0.0066,0.2009,51.6452,0.0878,0.3753,1.9417,0.7101,214
165,11,0,0.1867,-0.0655,0.1853,41.8792,1.416,0.7469,0.4119,0.7078,215
86,5,11,0.5303,0.7721,0.2419,37.9378,-0.155,0.9293,0.3643,0.6997,216
12,0,12,0.1643,1.1235,0.1974,45.3055,1.2181,0.6737,0.6586,0.6649,217
150,10,0,0.7629,0.6908,0.2046,41.7048,0.3648,0.3006,1.4578,0.6495,218
181,12,1,0.2951,1.0834,0.2299,42.634,-0.6916,0.1824,1.6654,0.6373,219
164,10,14,0.9281,0.3136,0.2045,47.2714,-0.1345,0.6389,1.4156,0.6038,220
148,9,13,1.0376,1.6507,0.1766,46.718,0.3055,-0.0143,0.8282,0.538,221
286,19,1,1.0761,0.429,0.2228,51.0165,0.2151,1.0135,-0.1222,0.4846,222
116,7,11,0.5383,1.1374,0.1708,46.7732,0.3693,0.6895,1.0128,0.4599,223
166,11,1,0.8069,0.6457,0.2041,43.2513,-0.5955,0.7546,1.1464,0.4595,224
271,18,1,0.784,0.7466,0.1727,37.9596,1.0912,0.1971,1.313,0.4098,225
117,7,12,0.8324,1.5626,0.2206,48.3458,0.2005,1.2372,-0.6505,0.4007,226
288,19,3,0.3364,0.4659,0.1548,47.7149,0.6682,0.5598,-0.1884,0.3573,227
124,8,4,0.7782,0.2898,0.1756,36.6911,-0.0074,0.3537,-0.0852,0.2951,228
137,9,2,1.1674,0.5791,0.2042,50.6626,-0.2084,0.9244,-0.1093,0.1635,229
133,8,13,0.8491,-0.1579,0.1934,53.0996,-0.0911,1.3307,-0.4665,0.0756,230
34,2,4,0.8478,0.8658,0.1898,52.0312,0.1378,0.3652,0.2488,-0.0266,231
79,5,4,0.8543,0.6026,0.1937,52.9149,-0.3338,1.2715,-0.1713,-0.0521,232
287,19,2,0.7836,0.323,0.19,51.5958,-0.9159,0.4846,0.6621,-0.0624,233
2,0,2,1.0006,1.4757,0.2282,51.1222,0.0259,0.1819,-0.6888,-0.0664,234
72,4,12,0.7115,1.1827,0.1859,49.8767,-0.3474,1.5215,-0.2495,-0.1209,235
273,18,3,0.928,0.4331,0.1962,45.1484,-1.6507,0.1516,1.7612,-0.1597,236
58,3,13,0.9691,0.4943,0.2282,51.6177,0.6547,1.7496,-2.0276,-0.184,237
138,9,3,1.2897,0.9298,0.124,60.3105,0.4096,0.9478,-0.3763,-0.2255,238
3,0,3,0.7559,0.5753,0.1858,58.601,0.0488,0.7727,0.7067,-0.2362,239
285,19,0,0.8724,1.9709,0.2063,42.2101,-0.5419,0.049,0.6087,-0.2578,240
1,0,1,0.5348,-0.3088,0.2006,47.0328,-0.2783,1.6532,-1.6643,-0.2845,241
299,19,14,0.9627,-0.0135,0.1462,45.2027,-0.9401,0.2568,2.5007,-0.2889,242
87,5,12,1.0868,1.3751,0.2297,55.0275,-0.4188,1.2622,-0.4219,-0.3789,243
136,9,1,1.1812,0.8875,0.2025,60.091,-0.2736,0.6289,0.1561,-0.413,244
13,0,13,0.9272,1.1686,0.2078,47.3934,-0.9444,0.9563,-0.7394,-0.6082,245
149,9,14,0.9841,1.195,0.1642,54.4344,-0.7134,1.0472,0.2577,-0.684,246
102,6,12,0.8655,1.3168,0.1671,47.8995,-0.1975,1.3972,-1.1127,-0.8228,247
28,1,13,0.9664,0.3218,0.1608,50.2032,-0.4171,1.025,-0.7085,-0.8764,248
65,4,5,0.8834,1.6982,0.1458,42.412,-0.503,0.6241,0.6579,-0.8787,249
139,9,4,1.2663,1.5016,0.1066,59.26,-1.347,0.2336,1.9118,-0.9723,250
17,1,2,0.6629,0.2793,0.2175,51.1314,-1.837,1.3002,-1.7374,-0.985,251
49,3,4,0.8513,1.6631,0.1872,28.3255,-1.5195,0.8428,-0.448,-0.993,252
43,2,13,1.1738,1.4014,0.1847,61.287,-1.071,0.9096,0.3383,-1.1515,253
57,3,12,1.5026,1.6513,0.1652,71.4884,-1.3407,0.6941,1.0592,-1.278,254
33,2,3,0.677,0.1194,0.1513,58.0083,-0.457,0.9399,-1.5149,-1.2812,255
107,7,2,1.2727,1.7289,0.1904,53.0229,-0.7186,0.8898,-2.7468,-1.3542,256
18,1,3,1.0423,1.5866,0.169,60.688,-1.61,0.1614,0.1597,-1.3598,257
88,5,13,1.625,1.777,0.1387,57.6844,-0.9876,1.4993,-1.7671,-1.3792,258
104,6,14,1.2985,1.5851,0.2036,55.5994,-1.6062,1.5599,-1.8738,-1.4516,259
119,7,14,1.3851,2.1296,0.1362,60.3395,-1.1423,1.5054,-1.6169,-1.5418,260
44,2,14,1.4208,2.3097,0.1546,58.7859,-1.3553,1.418,-2.076,-1.6075,261
120,8,0,1.0489,1.0995,0.1842,54.6256,-1.6604,0.9511,-1.829,-1.6401,262
64,4,4,1.2187,1.15,0.1744,54.411,-1.4374,1.231,-1.2698,-1.6522,263
77,5,2,1.7191,0.6171,0.1595,58.1547,-1.3969,1.8661,-2.3697,-1.6612,264
101,6,11,1.1187,1.227,0.1755,49.0492,-2.3536,0.8207,0.5494,-1.6684,265
78,5,3,1.5793,2.4617,0.1669,50.4511,-2.0397,0.9157,-2.0405,-1.7116,266
29,1,14,1.2641,0.979,0.1018,55.6229,-1.6293,1.3517,-1.5973,-1.7178,267
121,8,1,1.4297,0.9692,0.1981,59.0532,-2.1247,1.0205,-1.6756,-1.859,268
0,0,0,1.119,2.069,0.1983,55.7656,-1.9665,0.258,-1.4898,-1.8847,269
14,0,14,0.9681,1.4235,0.1677,57.5413,-3.0194,1.0738,-1.2869,-1.9729,270
122,8,2,1.2327,0.9058,0.1076,57.2513,-1.9887,0.9526,-1.5901,-1.9831,271
63,4,3,1.5422,0.96,0.1472,57.848,-2.7228,1.611,-2.0575,-2.0445,272
60,4,0,1.2865,1.2026,0.1221,65.1392,-1.6192,2.0566,-3.4097,-2.0784,273
92,6,2,1.4171,1.1576,0.1935,67.7713,-2.1232,1.4029,-2.3123,-2.1838,274
103,6,13,1.6407,1.4242,0.1498,63.4922,-1.879,1.6082,-1.6594,-2.2052,275
73,4,13,1.609,2.072,0.114,63.0089,-2.1707,1.381,-1.0262,-2.3073,276
32,2,2,1.1079,0.7235,0.1714,60.2863,-2.313,1.0082,-2.3261,-2.3681,277
31,2,1,1.3604,1.7111,0.2449,59.0152,-2.5433,1.7752,-3.511,-2.4002,278
89,5,14,1.9028,1.1258,0.1231,59.9374,-2.6,1.8107,-2.0061,-2.4034,279
48,3,3,1.4538,0.5839,0.1677,59.7424,-2.2743,1.1664,-2.2916,-2.4139,280
62,4,2,1.6984,2.2483,0.121,54.3671,-2.4785,1.3583,-2.8464,-2.5289,281
