unit_id,row,col,pop,obs,in_true_cluster,in_detected_cluster
74,4,14,2150,39,0,0
75,5,0,2336,47,0,0
76,5,1,2089,30,0,0
77,5,2,2139,104,1,1
78,5,3,2132,122,1,1
79,5,4,1828,104,1,1
80,5,5,1865,125,1,1
81,5,6,1545,81,1,1
82,5,7,1543,23,0,0
83,5,8,1522,35,0,0
84,5,9,1390,31,0,0
85,5,10,1799,34,0,0
86,5,11,1712,35,0,0
87,5,12,1927,31,0,0
88,5,13,2135,41,0,0
89,5,14,2220,50,0,0
90,6,0,2297,45,0,0
91,6,1,2120,27,0,0
92,6,2,1988,112,1,1
93,6,3,1956,120,1,1
94,6,4,1517,75,1,1
95,6,5,1449,98,1,1
96,6,6,1378,87,1,1
97,6,7,1382,32,0,0
98,6,8,1644,31,0,0
99,6,9,1414,26,0,0
100,6,10,1592,31,0,0
101,6,11,2031,48,0,0
102,6,12,1819,46,0,0
103,6,13,2152,51,0,0
104,6,14,1910,38,0,0
105,7,0,2048,31,0,0
106,7,1,1876,48,0,0
107,7,2,1930,104,1,1
108,7,3,2066,113,1,1
109,7,4,1435,103,1,1
110,7,5,1751,99,1,1
111,7,6,1616,103,1,1
112,7,7,1388,27,0,0
113,7,8,1201,32,0,0
114,7,9,1535,38,0,0
115,7,10,1487,34,0,0
116,7,11,1744,36,0,0
117,7,12,1820,32,0,0
118,7,13,2250,50,0,0
119,7,14,1974,31,0,0
120,8,0,1778,41,0,0
121,8,1,1995,46,0,0
122,8,2,1936,40,0,0
123,8,3,2063,144,1,1
124,8,4,1841,86,1,1
125,8,5,1629,103,1,1
126,8,6,1754,39,0,0
127,8,7,1162,12,0,0
128,8,8,1255,27,0,0
129,8,9,1229,27,0,0
130,8,10,1409,27,0,0
131,8,11,1315,29,0,0
132,8,12,1836,44,0,0
133,8,13,1779,43,0,0
134,8,14,1621,34,0,0
135,9,0,1653,29,0,0
136,9,1,1895,32,0,0
137,9,2,1933,36,0,0
138,9,3,2065,37,0,0
139,9,4,2130,34,0,0
140,9,5,1514,32,0,0
141,9,6,1137,31,0,0
142,9,7,847,12,0,0
143,9,8,1311,16,0,0
144,9,9,1125,24,0,0
145,9,10,1277,24,0,0
146,9,11,1342,31,0,0
147,9,12,1555,26,0,0
148,9,13,1910,48,0,0
149,9,14,1821,41,0,0
150,10,0,1692,36,0,0
151,10,1,1493,25,0,0
152,10,2,1298,20,0,0
153,10,3,1435,25,0,0
154,10,4,1404,33,0,0
155,10,5,1653,32,0,0
156,10,6,1229,29,0,0
157,10,7,1338,28,0,0
158,10,8,1024,21,0,0
159,10,9,918,12,0,0
160,10,10,1035,17,0,0
161,10,11,1187,23,0,0
162,10,12,1876,34,0,0
163,10,13,1400,20,0,0
164,10,14,1824,31,0,0
165,11,0,1419,27,0,0
166,11,1,1762,43,0,0
167,11,2,1585,32,0,0
168,11,3,1377,25,0,0
169,11,4,1283,22,0,0
170,11,5,1044,17,0,0
171,11,6,1167,26,0,0
172,11,7,926,9,0,0
173,11,8,755,18,0,0
174,11,9,775,6,0,0
175,11,10,1138,31,0,0
176,11,11,1523,25,0,0
177,11,12,1358,20,0,0
178,11,13,1416,24,0,0
179,11,14,1589,33,0,0
180,12,0,1758,37,0,0
181,12,1,1517,30,0,0
182,12,2,1324,32,0,0
183,12,3,1527,36,0,0
184,12,4,1274,21,0,0
185,12,5,1380,25,0,0
186,12,6,1013,23,0,0
187,12,7,670,16,0,0
188,12,8,624,18,0,0
189,12,9,1258,18,0,0
190,12,10,1346,30,0,0
191,12,11,1069,28,0,0
192,12,12,1147,25,0,0
193,12,13,1630,20,0,0
194,12,14,1209,21,0,0
195,13,0,1249,31,0,0
196,13,1,1533,32,0,0
197,13,2,1258,32,0,0
198,13,3,1236,26,0,0
199,13,4,1087,20,0,0
200,13,5,1071,25,0,0
201,13,6,1189,23,0,0
202,13,7,864,17,0,0
203,13,8,958,18,0,0
204,13,9,449,10,0,0
205,13,10,923,19,0,0
206,13,11,868,20,0,0
207,13,12,911,19,0,0
208,13,13,1093,26,0,0
209,13,14,1294,21,0,0
210,14,0,1584,30,0,0
211,14,1,1111,29,0,0
212,14,2,1316,23,0,0
213,14,3,1112,23,0,0
214,14,4,1026,20,0,0
215,14,5,1176,22,0,0
216,14,6,987,14,0,0
217,14,7,1085,24,0,0
218,14,8,770,25,0,0
219,14,9,692,8,0,0
220,14,10,860,23,0,0
221,14,11,1057,17,0,0
222,14,12,1162,23,0,0
223,14,13,1024,17,0,0
224,14,14,1351,29,0,0
225,15,0,1462,21,0,0
226,15,1,1896,34,0,0
227,15,2,1701,47,0,0
228,15,3,1054,15,0,0
229,15,4,1050,22,0,0
230,15,5,699,18,0,0
231,15,6,777,16,0,0
232,15,7,897,15,0,0
233,15,8,1058,27,0,0
234,15,9,702,17,0,0
235,15,10,790,14,0,0
236,15,11,595,7,0,0
237,15,12,1110,28,0,0
238,15,13,1045,20,0,0
239,15,14,1243,21,0,0
240,16,0,1299,23,0,0
241,16,1,1432,24,0,0
242,16,2,1032,27,0,0
243,16,3,990,20,0,0
244,16,4,1592,32,0,0
245,16,5,792,15,0,0
246,16,6,734,10,0,0
247,16,7,1259,20,0,0
248,16,8,1456,38,0,0
249,16,9,671,15,0,0
250,16,10,905,17,0,0
251,16,11,1151,28,0,0
252,16,12,1547,30,0,0
253,16,13,1118,30,0,0
254,16,14,1358,16,0,0
255,17,0,1724,40,0,0
256,17,1,1632,37,0,0
257,17,2,1403,27,0,0
258,17,3,1351,23,0,0
259,17,4,985,19,0,0
260,17,5,1096,16,0,0
261,17,6,994,18,0,0
262,17,7,1032,18,0,0
263,17,8,858,17,0,0
264,17,9,1094,23,0,0
265,17,10,1275,37,0,0
266,17,11,1208,19,0,0
267,17,12,1365,33,0,0
268,17,13,1420,28,0,0
269,17,14,1501,30,0,0
270,18,0,1544,29,0,0
271,18,1,1728,33,0,0
272,18,2,1578,35,0,0
273,18,3,1916,48,0,0
274,18,4,1694,36,0,0
275,18,5,1341,25,0,0
276,18,6,1014,14,0,0
277,18,7,883,20,0,0
278,18,8,1327,29,0,0
279,18,9,1172,21,0,0
280,18,10,1288,22,0,0
281,18,11,947,13,0,0
282,18,12,1600,25,0,0
283,18,13,1620,35,0,0
284,18,14,1399,23,0,0
285,19,0,1726,36,0,0
286,19,1,1849,39,0,0
287,19,2,1740,38,0,0
288,19,3,1570,30,0,0
289,19,4,1491,32,0,0
290,19,5,1345,24,0,0
291,19,6,1329,26,0,0
292,19,7,1532,28,0,0
293,19,8,707,17,0,0
294,19,9,1204,28,0,0
295,19,10,1359,26,0,0
296,19,11,1487,32,0,0
297,19,12,1472,25,0,0
298,19,13,1309,25,0,0
299,19,14,1818,30,0,0
