unit_id,row,col,pop,elderly,single,basic,crisis,medical_access,welfare_access,blindspot_risk,crisis_lag,access_lag,elderly_lag,pred_risk,priority_rank,pi_half,pi_low,pi_high,confidence
62,4,2,15183.0,0.3166,0.3151,0.0869,16.4012,23.9555,29.4538,15.4086,13.5896,27.2487,0.2378,15.6198,11,1.2473,14.3726,16.8671,높음
45,3,0,12272.0,0.1727,0.3682,0.1086,11.3848,28.9167,13.3138,16.5849,12.9844,27.1817,0.2891,15.5953,12,3.484,12.1112,19.0793,낮음
117,7,12,13504.0,0.289,0.3752,0.0787,12.319,11.1574,22.2412,16.0732,10.8988,29.7973,0.2503,15.4068,13,2.45,12.9568,17.8567,낮음
87,5,12,11907.0,0.262,0.4345,0.1017,12.2543,29.582,19.6923,15.8195,13.5049,20.3291,0.2594,15.3774,14,1.9309,13.4464,17.3083,낮음
43,2,13,9876.0,0.2599,0.3577,0.1255,15.0945,23.8418,11.6168,15.905,15.3343,23.4754,0.2261,15.3758,15,1.6478,13.728,17.0237,중간
92,6,2,10422.0,0.2314,0.4171,0.1498,11.9999,25.9485,15.309,15.5725,13.6397,25.99,0.249,15.3306,16,2.3044,13.0262,17.6349,낮음
121,8,1,9757.0,0.2108,0.4258,0.1115,11.5946,26.9044,25.8533,16.336,13.0097,25.1015,0.2279,15.2437,17,2.7552,12.4884,17.9989,낮음
103,6,13,15015.0,0.2411,0.3612,0.1243,15.7118,19.3991,21.0472,15.4505,14.8456,26.762,0.2701,15.1209,18,1.5883,13.5326,16.7092,중간
73,4,13,13492.0,0.3024,0.2853,0.1236,9.7707,27.7781,15.67,15.185,15.0374,23.7236,0.2569,15.0888,19,1.4435,13.6453,16.5323,중간
90,6,0,12679.0,0.1702,0.4034,0.1452,16.9545,23.5953,29.808,15.1128,12.6806,27.5612,0.3102,15.0637,20,1.7197,13.344,16.7835,낮음
106,7,1,8014.0,0.2432,0.3006,0.1182,11.9816,29.1033,20.4529,15.7948,12.5962,27.8556,0.2558,15.049,21,2.5269,12.5221,17.576,낮음
15,1,0,6488.0,0.2201,0.267,0.1219,12.4814,25.0524,16.2824,15.1888,14.6267,26.2539,0.3145,14.9681,22,1.7596,13.2086,16.7277,낮음
89,5,14,15297.0,0.2051,0.3511,0.1054,14.915,27.5867,26.2042,14.6475,16.7178,22.4433,0.2834,14.6661,23,1.2229,13.4432,15.8889,높음
118,7,13,6060.0,0.2609,0.3464,0.1022,11.1971,30.4448,20.5391,14.52,13.6462,18.6561,0.2458,14.6061,24,1.4316,13.1745,16.0377,중간
46,3,1,10351.0,0.252,0.4182,0.1293,11.561,20.5656,24.351,14.5488,14.3122,27.6809,0.2591,14.5606,25,2.429,12.1315,16.9896,낮음
102,6,12,14457.0,0.2672,0.2751,0.0773,12.2432,29.9753,20.5557,14.9268,12.9714,22.5296,0.2583,14.5494,26,1.7848,12.7646,16.3342,낮음
41,2,11,7995.0,0.2211,0.3626,0.0977,12.1096,24.1772,15.1582,14.5174,15.8359,18.6914,0.1544,14.5045,27,1.2153,13.2892,15.7198,높음
74,4,14,9506.0,0.2979,0.4223,0.0891,14.2116,20.702,17.4953,14.4916,12.1432,28.2767,0.2587,14.4936,28,1.7647,12.729,16.2583,낮음
57,3,12,11846.0,0.2635,0.3666,0.1581,12.5134,30.8271,25.6171,14.1785,15.1939,21.8761,0.2205,14.4475,29,0.6757,13.7718,15.1232,높음
14,0,14,2000.0,0.2688,0.2896,0.1131,14.6,12.4965,18.5437,14.7004,14.1386,19.2589,0.2305,14.4406,30,0.9762,13.4644,15.4168,높음
76,5,1,9601.0,0.2598,0.515,0.1416,16.7825,29.585,26.4555,14.133,12.8478,27.9,0.2842,14.347,31,1.5242,12.8229,15.8712,중간
77,5,2,18480.0,0.1675,0.3954,0.1023,14.9643,35.2012,31.5659,14.5784,14.8631,23.4286,0.2865,14.3229,32,1.7955,12.5274,16.1185,낮음
42,2,12,18734.0,0.211,0.4451,0.0887,21.4445,20.8113,19.6869,14.0047,12.7982,24.3387,0.2374,14.3022,33,1.4062,12.8959,15.7084,중간
2,0,2,13681.0,0.2709,0.4147,0.085,10.8951,30.5884,16.206,14.8848,12.0048,22.6524,0.1724,14.2871,34,0.9614,13.3257,15.2486,높음
47,3,2,4769.0,0.2907,0.2611,0.0354,13.4381,23.1586,16.142,13.678,13.2484,26.1649,0.2364,14.2442,35,1.1306,13.1136,15.3748,높음
61,4,1,12390.0,0.2894,0.3712,0.1174,10.918,30.2811,17.4081,13.5725,14.2698,24.663,0.2688,14.2092,36,1.8414,12.3678,16.0506,낮음
49,3,4,5762.0,0.2972,0.3113,0.01,10.5497,24.3127,20.5117,14.8622,12.2131,23.0335,0.2134,14.1895,37,1.1427,13.0468,15.3322,높음
0,0,0,6710.0,0.3224,0.3757,0.1034,14.125,20.5649,18.5234,13.7267,9.7735,20.749,0.1779,14.176,38,1.5938,12.5822,15.7698,중간
91,6,1,10244.0,0.2734,0.3578,0.1514,11.8949,21.0464,18.9638,13.9971,14.4296,27.058,0.2261,14.1227,39,0.8176,13.305,14.9403,높음
29,1,14,14265.0,0.217,0.2055,0.0996,15.4273,28.765,18.4137,14.6475,13.0647,19.0304,0.2571,14.1011,40,1.9591,12.142,16.0602,낮음
16,1,1,4758.0,0.2524,0.3981,0.1374,14.6973,21.7635,23.6113,13.9207,13.5858,24.7311,0.2059,14.0978,41,0.8913,13.2066,14.9891,높음
18,1,3,7219.0,0.2787,0.3026,0.1236,14.17,20.9906,20.3312,14.4953,14.0869,17.9376,0.1718,14.0677,42,1.6107,12.4571,15.6784,중간
120,8,0,8958.0,0.2435,0.3413,0.1038,13.441,27.8866,13.598,14.1419,11.2149,30.6492,0.2182,14.0468,43,0.8118,13.235,14.8586,높음
285,19,0,8762.0,0.327,0.355,0.0538,9.9031,29.8119,21.5363,14.1171,8.1878,23.4806,0.1551,14.0139,44,1.1338,12.8801,15.1476,높음
11,0,11,10044.0,0.2011,0.3134,0.0694,13.4509,18.1443,2.0224,14.7346,14.696,19.4896,0.2035,14.0097,45,2.0224,11.9874,16.0321,낮음
26,1,11,14915.0,0.1129,0.2845,0.0626,18.2058,24.028,17.6803,14.2651,12.5039,19.8402,0.2063,13.9239,46,1.8793,12.0446,15.8031,낮음
134,8,14,13648.0,0.2678,0.3498,0.0716,9.4771,23.3181,10.2143,13.6411,14.2643,20.9561,0.2341,13.8986,47,1.1151,12.7835,15.0138,높음
48,3,3,11314.0,0.1724,0.367,0.1124,12.4824,29.7399,18.6518,13.9264,13.2547,20.5066,0.2398,13.8689,48,1.8409,12.028,15.7099,낮음
181,12,1,2000.0,0.2656,0.3064,0.0646,11.8159,11.0792,10.8715,14.4143,16.6508,14.6232,0.1764,13.8418,49,2.6553,11.1864,16.4971,낮음
149,9,14,11563.0,0.249,0.2862,0.1008,16.2387,18.8006,27.9789,14.0982,11.6083,24.6874,0.2398,13.7251,50,1.4273,12.2978,15.1524,중간
72,4,12,10500.0,0.2638,0.29,0.0902,11.5458,23.6063,13.8369,13.7412,10.8368,26.2095,0.2732,13.7129,51,1.3762,12.3368,15.0891,중간
17,1,2,3001.0,0.1838,0.3454,0.0964,13.2883,29.0592,21.3035,12.8058,13.0779,25.9352,0.2516,13.6531,52,1.6445,12.0086,15.2977,중간
64,4,4,11802.0,0.2329,0.3424,0.0946,14.7081,18.8268,20.5505,12.7073,13.0062,21.707,0.2497,13.5534,53,1.5967,11.9567,15.1501,중간
108,7,3,2000.0,0.1484,0.3411,0.1197,15.4712,24.5798,17.8153,13.8037,12.3354,23.5736,0.2126,13.5377,54,1.5626,11.9751,15.1003,중간
101,6,11,3662.0,0.241,0.3262,0.0725,11.6004,29.9798,23.4943,13.598,11.4127,22.1371,0.235,13.5257,55,1.2756,12.25,14.8013,높음
27,1,12,9693.0,0.205,0.4044,0.0873,11.4753,18.5088,23.1924,13.2911,16.8683,19.0741,0.192,13.4906,56,0.9496,12.541,14.4402,높음
79,5,4,11128.0,0.2025,0.3263,0.0983,11.7869,24.3333,9.3138,12.8925,15.1646,20.4612,0.2576,13.4824,57,1.7851,11.6973,15.2675,낮음
226,15,1,15298.0,0.2905,0.3321,0.1269,7.1419,15.3965,19.3556,14.0861,12.6411,14.8508,0.1649,13.4193,58,3.048,10.3713,16.4673,낮음
179,11,14,17894.0,0.3302,0.2381,0.1081,6.7178,16.5636,16.8788,13.8512,12.2886,15.0512,0.1665,13.3544,59,3.169,10.1854,16.5233,낮음
59,3,14,10071.0,0.2685,0.3573,0.1277,11.7438,29.4653,16.5203,12.6892,13.5669,27.9936,0.274,13.3212,60,2.2979,11.0234,15.6191,낮음
164,10,14,10481.0,0.1677,0.3553,0.07,13.6656,29.1193,13.5563,13.9937,11.7157,20.6114,0.2199,13.2685,61,1.8116,11.4569,15.08,낮음
95,6,5,15382.0,0.1925,0.2575,0.0722,6.1415,18.6101,9.7632,14.0873,13.9702,21.2434,0.1997,13.1922,62,4.1918,9.0003,17.384,낮음
32,2,2,7263.0,0.2045,0.3232,0.1248,12.5491,30.3984,13.5455,12.7934,15.5567,23.6965,0.2316,13.1808,63,1.422,11.7588,14.6028,중간
148,9,13,15664.0,0.2838,0.3162,0.065,11.6821,21.6249,13.4165,12.0662,14.0802,22.8058,0.1595,13.1014,64,2.0433,11.0582,15.1447,낮음
94,6,4,13031.0,0.2361,0.2672,0.0698,12.2173,20.6234,13.1846,13.3271,10.5844,19.5635,0.197,13.1002,65,1.4802,11.62,14.5804,중간
273,18,3,2958.0,0.1724,0.3337,0.0575,16.5065,31.2256,15.184,13.169,12.4733,15.2881,0.1833,13.0462,66,1.8654,11.1808,14.9116,낮음
119,7,14,16762.0,0.3201,0.2966,0.1189,8.8908,22.0227,13.357,12.1095,12.5076,26.1001,0.2687,12.9286,67,3.233,9.6956,16.1616,낮음
151,10,1,14249.0,0.2207,0.3006,0.0688,11.6149,26.3515,16.0125,12.3481,12.3063,18.287,0.2271,12.923,68,1.723,11.2001,14.646,낮음
58,3,13,18959.0,0.1908,0.416,0.0924,15.2988,28.4956,20.4475,12.2637,12.2806,27.9781,0.2736,12.9184,69,2.6331,10.2853,15.5516,낮음
135,9,0,19438.0,0.1933,0.3443,0.0861,9.5173,28.4773,25.2488,13.6236,11.922,20.0373,0.2231,12.9143,70,1.5167,11.3976,14.431,중간
256,17,1,21198.0,0.1682,0.3409,0.0755,12.7613,29.392,12.6349,12.7736,9.8412,24.9875,0.1728,12.8791,71,1.4358,11.4432,14.3149,중간
136,9,1,13874.0,0.2125,0.394,0.1202,13.8517,13.8778,18.9354,12.58,11.3008,27.8805,0.2018,12.8683,72,1.3781,11.4902,14.2464,중간
63,4,3,10211.0,0.2035,0.3406,0.1031,15.0382,20.354,26.2967,12.1178,14.4651,21.6869,0.2651,12.8646,73,1.9181,10.9465,14.7827,낮음
288,19,3,13313.0,0.2103,0.1648,0.0865,14.9519,19.7815,11.0824,13.6186,13.9794,21.5047,0.2044,12.8422,74,2.2409,10.6013,15.0831,낮음
272,18,2,11946.0,0.2148,0.3608,0.0701,11.9227,10.6945,4.7112,12.5643,13.7531,23.443,0.1743,12.8407,75,1.4957,11.345,14.3364,중간
167,11,2,17315.0,0.2948,0.2809,0.0821,11.5062,17.8754,13.7045,13.3867,12.2958,16.8423,0.2225,12.8149,76,1.9973,10.8177,14.8122,낮음
163,10,13,15448.0,0.0806,0.3416,0.0909,12.1904,26.4699,11.3295,13.0201,11.8681,20.0725,0.1902,12.6744,77,1.6767,10.9977,14.3511,중간
122,8,2,11911.0,0.2126,0.213,0.1076,12.7646,29.5384,9.8679,12.7238,12.2508,28.9192,0.2126,12.6366,78,1.5958,11.0408,14.2324,중간
65,4,5,11538.0,0.2956,0.2308,0.0508,14.6498,17.828,17.7638,12.8514,16.2644,16.6242,0.2085,12.617,79,1.375,11.242,13.9921,중간
56,3,11,15098.0,0.2165,0.2677,0.0628,12.4864,14.5911,14.1288,13.1735,12.0088,20.8222,0.2359,12.6085,80,1.3773,11.2312,13.9859,중간
147,9,12,9071.0,0.1752,0.3404,0.0807,10.2283,23.9074,8.8721,13.8239,9.8727,18.6669,0.2111,12.5864,81,1.3743,11.2121,13.9607,중간
137,9,2,14632.0,0.1824,0.3931,0.0796,12.4764,29.7887,12.8997,11.359,12.5569,21.549,0.2273,12.5805,82,2.3004,10.2801,14.881,낮음
133,8,13,13080.0,0.1331,0.3245,0.0989,17.6633,22.0451,23.8281,12.3156,10.1996,24.3608,0.2562,12.5648,83,1.5334,11.0314,14.0981,중간
196,13,1,14411.0,0.1002,0.3691,0.1065,21.1283,14.0852,14.929,13.0278,12.062,14.3431,0.1947,12.5414,84,1.9767,10.5646,14.5181,낮음
182,12,2,10730.0,0.1783,0.4029,0.0671,15.744,10.7739,11.4058,12.4144,11.4718,19.5527,0.2295,12.4868,85,1.1109,11.3759,13.5976,높음
138,9,3,22843.0,0.2038,0.2481,0.1141,10.2031,24.0989,15.4006,12.4855,10.4271,24.2765,0.2228,12.4576,86,1.553,10.9047,14.0106,중간
271,18,1,16500.0,0.2153,0.2705,0.0355,9.9728,21.622,9.6078,13.3971,10.2649,21.7619,0.1733,12.4461,87,1.4268,11.0193,13.8729,중간
227,15,2,15685.0,0.204,0.3069,0.068,16.2904,14.609,2.0,13.0595,9.4287,13.7596,0.1954,12.4368,88,2.0558,10.3811,14.4926,낮음
93,6,3,3483.0,0.2666,0.2158,0.1311,13.3371,20.8068,8.8581,12.0796,13.4893,21.3443,0.2386,12.4355,89,1.3522,11.0832,13.7877,중간
240,16,0,9341.0,0.0947,0.4135,0.1024,17.99,12.505,16.4908,12.3024,9.5453,22.0398,0.1702,12.4071,90,0.9086,11.4985,13.3157,높음
86,5,11,6694.0,0.2314,0.371,0.0426,11.1373,5.6442,10.2149,12.5292,11.3056,21.4333,0.2337,12.4023,91,1.0375,11.3648,13.4398,높음
166,11,1,7492.0,0.2022,0.3345,0.0553,13.492,22.2419,17.6155,12.6352,12.1334,17.0858,0.238,12.3061,92,1.2429,11.0631,13.549,높음
3,0,3,11590.0,0.1978,0.2897,0.1202,15.6604,22.4521,14.0546,11.5884,11.5026,20.3134,0.2331,12.3057,93,1.9108,10.3949,14.2166,낮음
195,13,0,19449.0,0.2198,0.2871,0.0865,15.1007,16.3522,13.1282,12.1874,17.6194,13.1935,0.1477,12.2913,94,0.6497,11.6416,12.941,높음
60,4,0,15997.0,0.2467,0.258,0.145,12.3344,24.546,24.2018,11.9117,11.9723,28.0897,0.2896,12.1401,95,1.7082,10.4319,13.8483,중간
125,8,5,15870.0,0.172,0.3956,0.0569,12.7824,23.3841,7.2318,12.6852,11.5947,12.7252,0.1745,12.124,96,1.6552,10.4688,13.7791,중간
162,10,12,5067.0,0.1294,0.3675,0.0659,12.5968,19.0022,14.1092,13.154,12.8529,17.0954,0.1174,12.1218,97,1.612,10.5099,13.7338,중간
81,5,6,3318.0,0.2511,0.342,0.0251,11.5083,14.98,19.7842,12.0523,14.0452,17.8845,0.1711,12.0968,98,1.2131,10.8837,13.3099,높음
132,8,12,15506.0,0.2121,0.3638,0.0707,8.4422,22.0555,12.319,12.3746,12.13,16.3758,0.1977,12.0805,99,1.2832,10.7973,13.3638,높음
124,8,4,12915.0,0.1714,0.2733,0.0288,7.2053,21.8912,16.027,13.424,11.4921,22.9707,0.1799,12.0703,100,1.7925,10.2777,13.8628,낮음
152,10,2,6832.0,0.2804,0.2414,0.0645,13.4082,18.6807,3.4652,12.2262,10.679,21.8345,0.2464,12.0608,101,1.2826,10.7782,13.3434,높음
25,1,10,14096.0,0.1981,0.2533,0.096,12.9798,18.5304,13.1618,12.794,12.9302,14.8975,0.1631,12.0358,102,1.8415,10.1943,13.8773,낮음
287,19,2,6508.0,0.1781,0.3061,0.0931,14.6354,11.8408,14.4548,11.483,11.6969,20.2575,0.2001,12.0187,103,1.2453,10.7734,13.264,높음
28,1,13,14238.0,0.169,0.2757,0.0828,13.4038,9.8113,13.334,11.5906,13.7118,20.2171,0.2315,12.0177,104,1.5384,10.4792,13.5561,중간
34,2,4,13308.0,0.2222,0.3138,0.092,10.2477,33.5344,19.7547,12.0841,12.3744,14.614,0.1878,11.9809,105,1.1904,10.7905,13.1712,높음
1,0,1,10055.0,0.1358,0.2913,0.082,7.0656,16.4457,18.1072,12.2563,13.2391,24.3056,0.2819,11.9728,106,1.4613,10.5116,13.4341,중간
50,3,5,15869.0,0.2261,0.433,0.0335,11.4141,10.0329,12.1187,12.3113,12.8019,17.3565,0.2451,11.9524,107,1.0536,10.8988,13.0059,높음
39,2,9,18208.0,0.2091,0.3304,0.0808,16.1848,23.8817,7.3341,11.7135,11.67,8.3402,0.1883,11.9171,108,1.4467,10.4704,13.3638,중간
252,16,12,11579.0,0.1874,0.3486,0.0624,11.8509,9.8762,16.9055,12.3544,12.2565,8.8442,0.1851,11.9131,109,1.6553,10.2578,13.5684,중간
111,7,6,15218.0,0.0688,0.3465,0.0994,15.9984,14.365,15.2085,12.2709,12.3258,12.8136,0.1749,11.8517,110,3.2983,8.5535,15.15,낮음
255,17,0,11543.0,0.1993,0.3286,0.0836,5.9199,24.3251,19.0797,11.2055,12.9703,19.5206,0.1326,11.8359,111,2.3221,9.5138,14.1579,낮음
180,12,0,16904.0,0.2249,0.3239,0.0863,16.239,11.3919,16.9001,11.2745,13.5043,13.4894,0.2188,11.8333,112,1.1672,10.666,13.0005,높음
197,13,2,11270.0,0.1488,0.352,0.0637,9.7735,26.9409,9.8122,12.0575,15.5368,11.2121,0.1268,11.8332,113,1.2616,10.5716,13.0948,높음
183,12,3,11341.0,0.2087,0.3534,0.0613,12.7914,22.3154,10.6983,11.9722,11.3204,8.9765,0.1526,11.8096,114,1.2833,10.5263,13.0929,높음
116,7,11,11188.0,0.2609,0.2273,0.0772,11.7126,36.7136,12.0908,12.3894,10.6573,16.8646,0.228,11.8084,115,2.2517,9.5567,14.0601,낮음
33,2,3,12346.0,0.168,0.2147,0.1244,13.9926,14.2009,18.7155,12.0263,12.3623,28.6658,0.2194,11.8016,116,1.3676,10.4339,13.1692,중간
13,0,13,9146.0,0.2441,0.3605,0.0697,12.8499,9.7528,17.0176,11.0792,14.141,14.6512,0.2377,11.7775,117,1.309,10.4684,13.0865,중간
254,16,14,17869.0,0.1729,0.3145,0.0758,8.6059,21.1588,13.505,11.4453,12.9281,18.0977,0.1939,11.7405,118,1.6193,10.1211,13.3598,중간
284,18,14,15110.0,0.2264,0.2429,0.0661,13.4939,20.8342,18.3928,10.7369,12.5317,21.969,0.1619,11.6878,119,1.7889,9.8989,13.4767,낮음
113,7,8,13616.0,0.1856,0.2737,0.01,15.2774,10.3646,2.0,12.2455,12.5471,14.8372,0.1447,11.6827,120,1.3521,10.3305,13.0348,중간
24,1,9,8396.0,0.2396,0.3032,0.037,10.8454,7.4319,3.8358,11.7222,12.5624,14.5823,0.2014,11.6749,121,1.0751,10.5998,12.75,높음
100,6,10,12214.0,0.1807,0.3745,0.0643,10.5578,16.2154,10.3859,12.1376,11.0095,16.1079,0.1827,11.6389,122,1.3173,10.3216,12.9562,중간
269,17,14,4930.0,0.2018,0.3071,0.0583,13.9589,33.8337,12.5022,11.4648,10.1627,17.0626,0.2016,11.6303,123,1.1645,10.4659,12.7948,높음
51,3,6,18067.0,0.2394,0.3032,0.0815,14.4592,13.381,15.2017,11.5546,12.9182,11.4932,0.1619,11.6152,124,0.9483,10.6669,12.5635,높음
193,12,13,13849.0,0.2127,0.3315,0.0705,10.8253,13.4158,18.0311,12.164,13.4922,8.74,0.1453,11.5636,125,1.5046,10.059,13.0681,중간
150,10,0,10988.0,0.2134,0.3326,0.0529,8.4732,18.3476,17.0724,10.1928,11.5762,22.6219,0.195,11.528,126,1.665,9.863,13.193,중간
139,9,4,11145.0,0.2523,0.2059,0.1075,11.544,21.9168,14.0965,12.3368,11.5863,15.8978,0.179,11.521,127,1.8525,9.6685,13.3735,낮음
38,2,8,14473.0,0.2098,0.3124,0.0668,12.8344,4.9503,16.0403,12.1028,11.644,11.7111,0.1939,11.4793,128,1.8357,9.6436,13.315,낮음
178,11,13,13165.0,0.1797,0.3031,0.045,9.5279,10.5435,19.8001,12.4949,12.2241,17.8029,0.1828,11.4764,129,1.6491,9.8274,13.1255,중간
126,8,6,13172.0,0.2306,0.3253,0.0118,10.7581,3.0,10.3408,11.6517,12.7385,16.9054,0.156,11.4685,130,1.1242,10.3443,12.5928,높음
154,10,4,19652.0,0.1747,0.4001,0.0203,14.1101,12.1716,12.0192,11.5989,9.6108,11.9185,0.2088,11.3252,131,1.5282,9.7971,12.8534,중간
225,15,0,8354.0,0.1659,0.3082,0.0581,13.1418,16.8754,5.6083,11.2337,13.541,14.0016,0.1678,11.3022,132,1.5673,9.7349,12.8696,중간
71,4,11,17797.0,0.265,0.3312,0.0685,8.809,16.6509,11.4188,11.4713,11.0694,14.7307,0.223,11.294,133,1.2854,10.0086,12.5794,높음
140,9,5,8808.0,0.1659,0.3564,0.0333,14.8266,5.4294,5.0689,11.6815,10.819,15.5519,0.1917,11.2803,134,1.1184,10.1619,12.3987,높음
286,19,1,15512.0,0.1752,0.4179,0.0845,8.216,30.2964,18.0046,10.5257,11.5038,21.0915,0.2401,11.2652,135,3.0946,8.1707,14.3598,낮음
270,18,0,12438.0,0.1349,0.3386,0.0477,8.1597,16.6649,13.5691,11.4898,8.5986,25.253,0.2472,11.2083,136,1.3009,9.9074,12.5092,높음
131,8,11,7701.0,0.1936,0.2954,0.059,8.3092,8.3934,8.7655,11.2084,10.1861,19.105,0.2018,11.189,137,0.9968,10.1922,12.1857,높음
109,7,4,10610.0,0.1265,0.3479,0.0762,11.0721,14.5039,15.5323,10.9523,12.1207,21.9186,0.1715,11.1573,138,1.9055,9.2518,13.0629,낮음
170,11,5,5941.0,0.1457,0.3624,0.0241,12.1453,6.1935,4.6179,12.2229,9.6485,7.286,0.1357,11.129,139,1.3521,9.7769,12.481,중간
212,14,2,5728.0,0.1734,0.3059,0.0242,14.6687,16.9896,13.9017,10.5725,12.0548,13.2987,0.1594,11.125,140,1.338,9.787,12.463,중간
298,19,13,14848.0,0.1944,0.3306,0.0985,11.0059,11.9875,3.2355,11.6754,11.2573,15.6074,0.1696,11.1128,141,1.6838,9.429,12.7966,중간
12,0,12,11256.0,0.2751,0.2209,0.0787,14.4192,21.6459,14.3232,10.4895,12.592,15.4686,0.2167,11.0594,142,1.6093,9.4501,12.6686,중간
55,3,10,9486.0,0.1942,0.3212,0.0958,14.6033,11.6335,8.8431,11.332,11.1486,12.6627,0.1751,11.0553,143,1.2105,9.8448,12.2658,높음
153,10,3,13411.0,0.2878,0.4261,0.1235,7.1182,13.3223,9.2073,10.5234,11.0651,17.656,0.222,11.0543,144,3.7032,7.3511,14.7575,낮음
127,8,7,5644.0,0.2276,0.3153,0.0379,12.7658,18.3999,2.3068,10.9295,12.0316,7.5073,0.1421,11.0509,145,0.928,10.1229,11.9789,높음
54,3,9,9098.0,0.2265,0.3297,0.0381,11.7933,5.6435,13.5499,10.842,11.6521,13.2078,0.21,11.0488,146,1.2462,9.8026,12.295,높음
22,1,7,13644.0,0.2291,0.3086,0.0573,9.1442,12.0889,16.9789,11.9095,10.2169,5.4418,0.1739,11.024,147,1.1647,9.8592,12.1887,높음
237,15,12,2000.0,0.1952,0.3519,0.0356,13.6825,7.1053,11.9147,10.9162,14.3377,5.4543,0.1269,10.9981,148,1.2949,9.7032,12.2929,높음
155,10,5,13865.0,0.187,0.3673,0.0962,9.5424,5.4341,6.7553,10.2176,13.1327,8.6532,0.1698,10.9695,149,1.7391,9.2304,12.7087,낮음
211,14,1,20919.0,0.1446,0.2489,0.0409,11.5579,3.0,18.4225,11.2391,14.6074,15.1436,0.1705,10.8852,150,1.6759,9.2093,12.561,중간
257,17,2,12363.0,0.1314,0.3279,0.0986,13.8978,29.0838,3.3074,9.9875,10.5241,15.1942,0.1636,10.873,151,1.6429,9.2301,12.5158,중간
265,17,10,12161.0,0.1744,0.3158,0.0129,14.7222,7.3159,6.0219,10.6977,13.412,5.7808,0.1178,10.8471,152,0.8547,9.9924,11.7018,높음
123,8,3,5748.0,0.1686,0.2603,0.113,10.5698,32.0782,25.1638,9.8475,11.4111,25.0271,0.1841,10.7725,153,3.058,7.7146,13.8305,낮음
274,18,4,11237.0,0.2002,0.195,0.0643,10.0349,23.4276,13.5654,10.4724,11.0212,18.311,0.1513,10.7633,154,1.5917,9.1716,12.355,중간
241,16,1,13442.0,0.1453,0.3074,0.01,9.5742,24.919,16.0911,10.6294,10.5806,17.6837,0.1792,10.7424,155,1.1061,9.6362,11.8485,높음
244,16,4,11424.0,0.1601,0.3021,0.056,13.9282,17.8688,4.2354,11.7287,10.998,5.2875,0.1308,10.7173,156,1.7021,9.0152,12.4193,중간
68,4,8,14601.0,0.2041,0.2798,0.0915,10.209,21.6175,11.8255,10.7501,7.6845,10.7921,0.1719,10.7025,157,1.1403,9.5622,11.8427,높음
67,4,7,14648.0,0.1363,0.3268,0.0399,6.0297,15.5544,15.0791,11.4022,11.449,14.2813,0.1459,10.6547,158,2.3731,8.2816,13.0278,낮음
268,17,13,6291.0,0.2056,0.2634,0.0486,8.3885,9.1947,14.4294,10.675,11.7225,17.6046,0.1828,10.639,159,0.9013,9.7377,11.5403,높음
209,13,14,14053.0,0.1936,0.3053,0.0752,12.8719,12.4676,13.9668,9.4029,10.9162,14.027,0.1716,10.6252,160,1.8327,8.7925,12.4579,낮음
110,7,5,7280.0,0.13,0.3184,0.0436,13.5889,20.5801,10.9859,10.4003,11.4986,17.7158,0.14,10.5484,161,1.4751,9.0734,12.0235,중간
70,4,10,18148.0,0.1801,0.3467,0.0527,9.1081,15.0812,16.3075,10.0051,11.2266,10.9638,0.213,10.5421,162,1.4043,9.1378,11.9464,중간
