test_idx,actual,pred_mean,pred_lo,pred_hi
105,54.49,71.88,48.54,95.23
106,62.87,55.6,33.37,77.83
107,46.16,43.54,22.33,64.75
108,40.37,28.91,7.16,50.66
109,27.41,18.21,-3.57,39.99
110,19.38,8.75,-13.62,31.12
111,13.3,7.62,-14.99,30.23
112,8.66,5.44,-18.45,29.34
113,7.95,8.33,-14.58,31.25
114,11.94,12.22,-10.3,34.74
115,11.31,18.95,-3.56,41.45
116,19.65,26.03,3.91,48.14
117,24.68,35.32,13.59,57.04
118,40.42,44.26,23.23,65.3
119,42.29,56.06,35.16,76.95
120,62.57,66.33,44.24,88.43
121,64.64,76.67,55.27,98.06
122,59.07,87.24,65.72,108.77
123,81.09,89.18,66.89,111.48
124,77.09,92.2,69.6,114.8
125,93.78,92.14,70.32,113.96
126,77.62,92.39,70.24,114.54
127,75.85,83.14,59.71,106.57
128,55.23,75.74,53.6,97.88
129,61.51,64.7,43.2,86.21
130,46.91,51.29,30.33,72.25
131,40.15,33.99,12.69,55.29
132,39.43,20.82,-0.4,42.03
133,30.15,12.8,-9.09,34.69
134,20.72,8.34,-15.65,32.33
135,9.1,10.31,-14.96,35.58
136,9.1,9.93,-12.78,32.65
137,8.26,11.77,-11.72,35.26
138,5.36,14.84,-7.33,37.0
139,20.38,19.23,-2.41,40.87
140,24.62,31.19,9.24,53.15
141,28.91,41.16,19.69,62.64
142,39.97,51.57,30.3,72.84
143,51.48,61.74,40.58,82.9
144,53.28,73.1,51.75,94.45
145,69.08,80.31,59.31,101.31
146,73.48,86.48,65.07,107.9
147,77.12,91.76,67.87,115.65
148,88.82,92.56,70.62,114.49
149,111.47,92.22,69.47,114.97
150,99.05,94.3,70.67,117.92
151,83.45,92.88,68.81,116.95
152,89.06,84.82,61.14,108.51
153,89.57,80.06,56.92,103.21
154,70.17,77.77,55.17,100.37
155,56.9,66.04,41.99,90.09
156,44.27,54.04,32.28,75.8
157,40.56,36.27,14.69,57.86
158,31.61,24.14,1.57,46.71
159,27.82,12.04,-10.74,34.82
160,23.34,6.19,-16.06,28.44
161,24.2,5.21,-17.7,28.11
162,19.78,8.45,-15.02,31.91
163,31.75,14.75,-8.79,38.29
164,34.19,22.29,0.59,43.98
165,50.54,35.93,14.22,57.64
166,49.68,51.87,31.14,72.61
167,70.28,67.14,45.87,88.42
168,75.03,81.91,60.68,103.14
169,77.91,92.44,70.49,114.38
170,88.4,97.18,74.86,119.49
171,96.92,101.52,79.0,124.05
172,108.88,98.1,75.63,120.56
173,111.74,97.7,73.7,121.7
174,99.91,97.68,73.36,122.01
175,101.9,91.69,66.95,116.43
176,117.69,89.75,65.31,114.19
177,105.73,90.3,66.94,113.65
178,81.01,86.38,62.31,110.44
179,69.5,79.06,55.82,102.31
180,59.91,70.31,48.18,92.44
181,52.66,57.25,35.35,79.15
182,38.23,42.92,21.13,64.72
183,35.33,28.84,6.48,51.21
184,26.06,14.48,-8.14,37.1
185,33.32,5.91,-17.76,29.59
186,36.02,7.26,-15.07,29.59
187,35.82,9.46,-13.71,32.64
188,50.71,19.05,-3.68,41.78
189,48.09,33.8,11.67,55.92
190,57.05,49.29,28.39,70.19
191,74.41,63.3,42.44,84.16
192,88.29,81.89,60.2,103.58
193,110.8,95.4,73.77,117.03
194,97.85,105.66,82.7,128.62
195,119.76,107.13,83.9,130.36
196,112.74,108.05,83.8,132.3
197,112.9,104.39,81.12,127.65
198,122.21,102.95,79.14,126.75
199,116.0,99.15,75.41,122.89
200,87.43,99.93,75.73,124.13
201,109.72,90.14,65.51,114.77
202,90.86,86.76,62.61,110.92
203,72.5,83.56,60.9,106.22
204,66.22,72.96,51.12,94.8
205,56.93,60.48,37.79,83.18
206,47.66,47.85,24.29,71.41
207,37.99,33.08,11.59,54.57
208,33.41,18.53,-2.91,39.97
209,34.52,10.48,-12.69,33.64
210,40.54,8.61,-16.43,33.64
211,41.87,10.96,-12.59,34.51
212,44.39,18.06,-3.71,39.83
213,57.05,28.15,6.84,49.46
214,52.0,46.78,25.18,68.39
215,78.11,62.73,41.85,83.6
216,76.66,79.13,56.28,101.99
217,89.37,92.5,70.81,114.19
218,89.79,99.86,77.93,121.79
219,94.09,103.16,79.3,127.01
220,122.31,101.66,77.99,125.33
221,107.05,102.07,77.72,126.42
222,113.47,100.16,76.62,123.71
223,105.17,98.14,74.42,121.86
224,103.66,93.76,69.74,117.79
225,90.97,89.47,65.97,112.96
226,75.01,85.27,61.45,109.08
227,73.34,72.35,49.11,95.59
228,56.58,65.74,43.19,88.3
229,42.22,52.88,30.16,75.59
230,37.98,36.24,13.67,58.81
231,38.86,20.7,-2.83,44.24
232,31.77,11.32,-10.88,33.52
233,25.11,8.46,-14.5,31.42
234,25.96,8.45,-15.53,32.42
235,29.55,9.53,-12.95,32.0
236,44.98,19.48,-3.36,42.33
237,45.95,32.09,10.9,53.29
238,55.25,47.4,26.18,68.62
239,67.46,62.73,41.53,83.93
240,74.1,76.87,55.55,98.19
241,79.65,89.51,68.13,110.9
242,88.0,98.78,76.35,121.21
243,95.05,100.43,77.85,123.0
244,98.83,99.11,76.06,122.15
245,107.28,98.11,74.51,121.72
246,98.6,95.38,72.55,118.21
247,100.85,93.46,69.56,117.36
248,85.8,87.46,63.76,111.15
249,78.55,82.29,58.64,105.95
250,59.57,72.53,48.96,96.09
251,60.33,61.46,38.1,84.83
252,47.15,48.32,26.31,70.33
253,39.57,32.04,10.27,53.81
254,15.18,18.38,-3.97,40.73
255,28.23,7.75,-15.73,31.23
256,14.81,4.89,-18.02,27.79
257,17.92,5.29,-17.22,27.79
258,10.19,8.91,-15.39,33.21
259,20.31,11.67,-10.64,33.98
260,19.52,21.7,-0.56,43.96
261,29.06,29.06,7.4,50.73
262,48.4,41.4,20.18,62.61
263,49.88,55.32,34.3,76.33
264,61.44,68.33,46.9,89.77
265,78.5,80.34,59.39,101.29
266,82.63,92.52,70.79,114.26
267,85.15,99.2,77.37,121.04
268,90.92,100.32,78.08,122.56
269,112.31,98.28,76.14,120.42
270,85.99,100.21,77.41,123.01
271,84.26,92.36,70.11,114.61
272,86.09,85.64,61.27,110.01
273,78.06,79.23,55.6,102.86
274,61.84,70.86,48.56,93.16
275,49.04,60.28,38.37,82.18
276,31.33,43.44,22.02,64.87
277,32.57,24.77,1.42,48.11
278,12.97,12.22,-10.23,34.68
279,12.24,8.19,-14.71,31.1
280,3.86,1.81,-21.36,24.97
281,5.12,4.85,-17.51,27.2
282,7.94,6.06,-16.96,29.08
283,11.81,10.98,-13.25,35.22
284,18.5,17.35,-5.0,39.7
285,31.5,26.47,4.68,48.26
286,36.47,40.15,18.42,61.88
287,44.02,51.12,30.5,71.73
288,59.22,63.77,43.05,84.48
289,76.94,77.0,55.27,98.73
290,61.1,89.64,68.02,111.26
291,85.78,93.19,71.35,115.03
292,90.91,97.74,74.04,121.43
293,82.4,94.86,71.63,118.1
294,97.91,94.93,72.54,117.32
295,78.81,91.8,69.31,114.29
296,75.38,82.47,59.05,105.9
297,64.31,74.37,51.51,97.22
298,56.67,62.9,40.62,85.19
299,42.1,50.62,29.49,71.74
300,30.63,30.58,9.12,52.04
301,33.39,16.35,-5.36,38.05
302,15.63,9.81,-14.22,33.83
303,9.0,5.47,-19.26,30.21
304,0.68,4.91,-18.17,27.99
305,5.72,6.02,-18.02,30.05
306,4.7,7.78,-14.63,30.19
307,20.93,14.49,-8.01,36.98
308,25.15,23.25,0.99,45.5
309,27.04,33.18,11.26,55.11
310,48.87,43.16,21.87,64.45
311,54.57,59.78,38.66,80.89
312,60.15,72.04,50.34,93.74
313,46.56,82.86,61.05,104.67
314,103.21,86.54,65.53,107.55
315,73.25,96.91,74.67,119.15
316,75.17,95.9,72.41,119.39
317,103.72,90.54,67.76,113.32
318,117.04,91.67,68.81,114.53
319,103.0,94.14,71.87,116.41
320,88.97,92.5,69.47,115.54
321,81.53,85.53,61.35,109.72
322,69.88,78.7,55.23,102.16
323,59.7,68.64,45.71,91.56
324,47.98,54.61,32.48,76.73
325,38.18,39.68,17.65,61.72
326,29.79,27.05,5.2,48.91
327,21.22,12.04,-10.78,34.86
328,19.68,5.3,-17.12,27.73
329,13.23,3.32,-19.92,26.57
330,21.53,4.79,-18.59,28.16
331,22.53,10.18,-12.51,32.88
332,28.98,17.55,-3.74,38.83
333,42.96,28.58,6.26,50.9
334,58.0,43.69,22.87,64.52
335,67.01,62.52,41.06,83.98
336,67.95,78.55,57.35,99.75
337,74.53,89.01,67.45,110.58
338,102.65,94.82,72.5,117.13
339,90.3,103.43,81.06,125.79
340,102.39,104.08,81.65,126.51
341,112.01,99.57,76.79,122.35
342,95.96,99.75,75.56,123.95
343,103.19,94.17,70.51,117.84
344,82.92,89.06,65.31,112.82
345,82.44,84.28,62.2,106.37
346,80.54,77.75,55.33,100.18
347,62.98,68.44,47.3,89.58
348,61.19,54.81,31.96,77.65
349,50.12,47.04,24.95,69.13
350,44.53,32.86,10.65,55.06
351,37.25,19.73,-2.97,42.44
352,38.19,13.91,-8.98,36.8
