cell,row,col,elevation,slope,river_dist,imperv,rainfall,flood_depth,depth_lag,elev_lag,pred_depth,priority_rank,admin
36,2,6,16.2074,0.4361,1.0,0.4995,95.9806,17.499,20.6272,16.6436,18.9106,82,2
111,7,6,17.7861,0.8271,1.0,0.3,113.1133,19.8594,19.0321,16.959,18.7869,83,2
126,8,6,20.1337,5.6406,1.0,0.6764,111.7607,15.5235,22.9403,14.4931,18.5331,84,2
214,14,4,19.4796,1.1713,3.0,0.6349,119.4755,19.059,16.8721,20.6509,18.2315,85,1
185,12,5,20.2807,4.282,2.0,0.5396,120.9903,17.4943,21.0547,15.9986,18.0679,86,2
155,10,5,23.8084,5.4005,2.0,0.5792,124.0884,19.4033,18.3742,18.4079,17.8881,87,2
95,6,5,19.6626,2.6271,2.0,0.5766,100.7407,18.6118,16.0372,22.2897,17.7463,88,2
220,14,10,19.7911,0.0582,3.0,0.4236,111.6501,17.856,18.6742,19.7329,17.7232,89,4
153,10,3,29.0457,1.5689,4.0,0.7692,134.39,19.1073,12.4385,30.6145,17.6837,90,1
39,2,9,24.501,2.7718,2.0,0.6331,97.1961,17.8838,17.9236,21.7292,17.5098,91,3
20,1,5,20.5388,0.1685,2.0,0.6539,93.4748,17.2308,15.9534,20.3703,17.4598,92,2
199,13,4,20.322,0.9433,3.0,0.3606,122.8113,18.637,17.8836,21.2653,17.4561,93,1
54,3,9,22.2537,0.9209,2.0,0.6882,99.6981,15.9599,17.0343,23.1745,16.495,94,3
205,13,10,20.6662,0.7712,3.0,0.4748,122.2998,17.5969,15.7545,19.895,16.2631,95,4
275,18,5,19.2179,0.879,2.0,0.3854,115.3313,12.6928,18.9577,18.3389,16.2628,96,2
229,15,4,19.8006,0.6078,3.0,0.7278,105.1173,14.4724,16.7108,20.4084,16.2376,97,1
99,6,9,21.2875,1.7647,2.0,0.4754,99.3912,17.0299,14.5695,23.0522,16.1624,98,3
160,10,10,21.6092,1.3069,3.0,0.5777,117.4973,15.9099,14.946,22.9161,15.8837,99,4
69,4,9,23.7432,1.1228,2.0,0.6613,76.482,16.069,15.8369,22.6204,15.8754,100,3
140,9,5,21.4062,1.7742,2.0,0.5373,121.014,14.624,17.6427,23.1804,15.7296,101,2
25,1,10,26.037,2.3064,3.0,0.6277,85.2324,17.4357,11.8843,28.3433,15.5527,102,4
236,15,11,20.2209,6.3993,4.0,0.4553,113.3899,15.8106,14.46,26.6202,15.2575,103,4
4,0,4,19.6043,5.9869,3.0,0.5326,91.4071,15.231,14.5246,25.5912,15.2115,104,1
114,7,9,23.2892,3.1716,2.0,0.5258,101.3145,12.5676,16.7455,20.1176,14.7608,105,3
184,12,4,22.9597,0.6463,3.0,0.5332,120.5916,15.0517,15.1477,23.6059,14.4742,106,1
175,11,10,23.4688,0.346,3.0,0.4993,111.1224,15.0535,16.2088,23.8148,14.4624,107,4
168,11,3,28.4811,1.262,4.0,0.6527,109.7613,16.1865,14.0602,29.7431,14.4531,108,1
265,17,10,25.6046,2.4044,3.0,0.6287,128.1483,12.0597,15.2459,23.2001,14.3987,109,4
84,5,9,20.8469,2.7069,2.0,0.3678,95.5167,15.4434,15.7598,23.5538,14.2283,110,3
289,19,4,25.3976,0.7904,3.0,0.7333,120.8681,15.1705,13.7308,26.188,14.1785,111,1
94,6,4,24.9419,2.2643,3.0,0.6242,101.8864,14.1441,13.2465,27.2062,14.17,112,1
176,11,11,33.6883,5.0974,4.0,0.6477,99.2522,14.6255,13.2918,28.5909,13.9118,113,4
295,19,10,26.2376,0.5395,3.0,0.4892,133.8947,15.8596,11.8488,25.6981,13.9072,114,4
206,13,11,24.2827,1.7541,4.0,0.8104,110.9422,13.084,11.9808,26.0368,13.8314,115,4
80,5,5,25.8048,2.7261,2.0,0.5729,111.5342,14.5677,14.7105,23.0787,13.7233,116,2
266,17,11,29.0327,0.4156,4.0,0.5008,109.2626,16.157,12.6723,28.6171,13.6403,117,4
169,11,4,22.8287,0.1361,3.0,0.4245,131.9545,13.823,15.9191,22.6927,13.5342,118,1
259,17,4,18.4417,6.7022,3.0,0.4333,135.8326,11.8232,10.5292,25.1439,13.4806,119,1
10,0,10,28.0956,2.5203,3.0,0.6813,79.2255,11.9061,15.8656,25.5754,13.245,120,4
251,16,11,28.4154,1.3863,4.0,0.5868,114.082,14.4989,15.302,27.0291,13.1708,121,4
179,11,14,47.8085,3.1527,7.0,0.7717,93.0788,14.02,6.5018,44.6558,13.0187,122,5
35,2,5,25.9362,3.0173,2.0,0.414,96.7102,12.495,13.2974,22.9189,12.9912,123,2
57,3,12,46.1496,6.6451,5.0,0.5324,91.9192,14.1842,9.5282,39.5045,12.973,124,4
154,10,4,24.3432,3.3036,3.0,0.5483,130.7813,11.2036,15.8047,27.6468,12.9524,125,1
190,12,10,26.8444,3.8704,3.0,0.6702,105.5312,12.659,15.7861,22.974,12.9288,126,4
213,14,3,25.0101,0.7234,4.0,0.5097,121.9683,11.96,12.1736,25.7336,12.7239,127,1
183,12,3,30.9923,3.3227,4.0,0.5897,129.1537,10.6364,13.0853,27.6696,12.4439,128,1
65,4,5,26.6972,1.6825,2.0,0.7378,89.3548,10.807,12.5138,25.0147,12.4015,129,2
70,4,10,26.4901,2.5859,3.0,0.5414,101.7788,11.4447,12.4546,29.076,12.396,130,4
3,0,3,34.2791,2.5985,4.0,0.4806,92.9793,13.179,12.6211,31.6806,12.3867,131,1
130,8,10,26.5744,1.3296,3.0,0.4151,107.0825,13.3493,12.2923,25.2448,12.3174,132,4
191,12,11,27.1348,2.2,4.0,0.564,99.9975,11.9187,12.6877,29.3348,12.2816,133,4
244,16,4,27.7785,9.5884,3.0,0.5096,129.5485,11.9423,15.8233,18.1901,12.2262,134,1
125,8,5,22.8144,1.2269,2.0,0.517,122.6894,12.1502,10.6396,24.0413,12.177,135,2
226,15,1,46.2152,6.9072,6.0,0.6546,131.2473,13.5789,6.0239,39.3081,12.0191,136,0
228,15,3,24.1031,2.4204,4.0,0.551,137.7135,12.9375,11.4714,26.5234,12.0147,137,1
18,1,3,35.7287,3.3419,4.0,0.6388,95.0882,13.4395,10.0175,32.3869,11.7116,138,1
50,3,5,24.5321,0.9827,2.0,0.6042,115.7826,9.4032,11.478,25.5149,11.5327,139,2
56,3,11,34.8393,0.9091,4.0,0.5481,85.0476,8.9095,12.2686,35.7484,11.4266,140,4
55,3,10,27.7481,0.8424,3.0,0.5679,96.0552,14.209,11.0714,28.5905,11.383,141,4
93,6,3,35.7648,0.3695,4.0,0.5751,91.9858,12.8647,10.3859,35.3952,11.3216,142,1
167,11,2,36.1059,2.0689,5.0,0.7325,117.0505,12.6742,10.8397,34.037,11.3215,143,0
152,10,2,31.4805,4.8261,5.0,0.7341,111.3795,12.122,11.2751,36.3066,11.163,144,0
12,0,12,37.6555,2.6177,5.0,0.7093,73.1101,12.1915,8.9477,40.2732,11.0041,145,4
44,2,14,52.8993,0.8323,7.0,0.6539,82.8014,10.9796,9.0631,52.0671,10.9097,146,5
109,7,4,23.8909,5.3993,3.0,0.3844,115.6799,11.412,8.6468,29.2902,10.6163,147,1
281,18,11,24.8266,6.6665,4.0,0.3812,129.5812,12.0297,8.7374,31.493,10.5733,148,4
72,4,12,39.5588,3.2781,5.0,0.6028,86.789,10.94,11.0477,42.8368,10.5621,149,4
92,6,2,40.734,0.8757,5.0,0.4434,119.1164,12.2624,9.5701,41.6098,10.5434,150,0
139,9,4,34.9046,6.3667,3.0,0.5913,96.5219,10.8852,9.7453,28.538,10.4367,151,1
221,14,11,27.1901,2.8684,4.0,0.4135,125.5022,10.4259,13.7394,24.3218,10.383,152,4
131,8,11,29.6137,3.9666,4.0,0.577,102.4662,10.2302,9.8519,33.5803,10.377,153,4
2,0,2,39.7088,2.7643,5.0,0.6037,109.6956,9.1928,9.7823,36.9444,10.3602,154,0
274,18,4,28.7804,3.9311,3.0,0.5628,117.3644,10.0596,11.0053,24.8493,10.3317,155,1
100,6,10,28.8694,1.2728,3.0,0.5184,108.4037,9.5147,10.5195,30.1422,10.3172,156,4
110,7,5,24.3761,3.3376,2.0,0.3821,108.8908,9.4993,15.5083,21.0385,10.2978,157,2
116,7,11,35.7709,1.2364,4.0,0.6507,87.4922,10.1655,8.7646,34.5345,10.2929,158,4
31,2,1,45.33,3.2863,6.0,0.5565,125.3946,10.495,9.6345,48.6164,10.2774,159,0
119,7,14,52.3548,2.2172,7.0,0.6224,87.3218,10.959,7.8434,50.1375,10.2678,160,5
91,6,1,47.7085,0.6811,6.0,0.4865,111.0339,12.1325,9.7966,47.0274,10.2668,161,0
237,15,12,32.1748,0.3584,5.0,0.6377,125.9199,10.1336,9.6036,31.8164,10.187,162,4
252,16,12,38.5769,5.4163,5.0,0.5356,123.7688,10.1785,11.4832,33.1605,10.1653,163,4
15,1,0,48.5155,3.333,7.0,0.4244,94.2389,11.0363,10.8353,51.8485,10.0743,164,0
71,4,11,32.9172,1.0614,4.0,0.6795,96.179,10.0404,9.2567,33.9786,10.0603,165,4
177,11,12,35.431,1.9933,5.0,0.363,109.6759,13.6114,9.5086,37.4243,10.0594,166,4
161,10,11,28.3289,3.7997,4.0,0.42,111.083,12.5834,11.2737,32.1286,10.0304,167,4
195,13,0,42.1282,3.7199,7.0,0.5723,127.5185,12.326,9.2667,45.848,10.023,168,0
145,9,10,24.9169,0.8583,3.0,0.3628,112.9467,9.1336,13.9563,24.0586,9.9644,169,4
30,2,0,58.9742,9.5854,7.0,0.6413,119.3875,9.7465,8.6171,49.3888,9.9598,170,0
42,2,12,38.5527,3.8882,5.0,0.5086,104.9215,10.5844,11.3339,42.441,9.9412,171,4
182,12,2,32.4406,2.3239,5.0,0.511,137.8805,9.957,10.4466,34.7646,9.8998,172,0
43,2,13,47.2458,1.533,6.0,0.5297,88.3757,11.4485,8.7545,45.7127,9.866,173,5
0,0,0,50.3716,5.9451,7.0,0.6673,106.6233,11.0456,8.898,44.4265,9.8601,174,0
14,0,14,50.8599,1.2474,7.0,0.5594,75.0472,10.8958,7.4558,49.6125,9.8423,175,5
207,13,12,29.1559,2.3383,5.0,0.5522,100.5464,7.9817,10.5237,31.4942,9.82,176,4
11,0,11,33.7908,0.3103,4.0,0.5727,87.8822,10.3109,10.3389,33.4805,9.7886,177,4
146,9,11,30.3267,0.1767,4.0,0.6481,118.3808,9.0466,10.1121,30.1501,9.7852,178,4
13,0,13,46.8391,1.8901,6.0,0.5327,86.5706,7.4702,9.6207,44.949,9.7681,179,5
102,6,12,40.9351,2.497,5.0,0.5985,88.2535,8.4455,8.6077,43.4321,9.7258,180,4
115,7,10,27.4844,1.1416,3.0,0.5637,91.7729,8.7249,11.3993,28.626,9.6575,181,4
192,12,12,32.5238,1.421,5.0,0.4657,112.5898,10.3824,10.6087,33.9449,9.6485,182,4
41,2,11,36.1787,1.4634,4.0,0.5565,95.5936,10.6407,8.5961,34.7154,9.6259,183,4
16,1,1,46.1996,3.5997,6.0,0.488,108.7106,11.7139,9.4248,42.5999,9.5755,184,0
209,13,14,43.81,2.7219,7.0,0.5158,109.2378,10.4754,8.7521,41.0881,9.5657,185,5
76,5,1,47.1527,1.4565,6.0,0.4554,130.0608,10.3725,8.6508,48.6092,9.5595,186,0
73,4,13,49.8086,2.4968,6.0,0.581,80.4654,10.3976,8.0093,47.3118,9.5538,187,5
79,5,4,29.5064,0.8708,3.0,0.4851,105.1646,10.0974,10.9284,30.3772,9.5353,188,1
60,4,0,49.2685,3.4446,7.0,0.4417,96.9643,11.0421,7.4196,52.7131,9.4653,189,0
75,5,0,56.5059,5.6988,7.0,0.7393,115.2948,8.8274,9.4423,50.8071,9.4627,190,0
243,16,3,22.9896,4.0514,4.0,0.4985,129.2536,11.0502,7.9103,27.041,9.4526,191,1
267,17,12,35.6217,1.1728,5.0,0.4217,115.2445,12.101,10.1246,36.7945,9.4407,192,4
224,14,14,44.7341,4.0361,7.0,0.6285,94.6052,9.1323,7.9068,40.698,9.373,193,5
138,9,3,38.1532,2.541,4.0,0.4415,103.041,10.2418,10.7432,35.6123,9.3477,194,1
33,2,3,32.108,3.6021,4.0,0.3984,86.5053,11.6289,9.6259,35.71,9.2991,195,1
208,13,13,36.1779,1.8804,6.0,0.4129,106.4471,10.4215,8.5814,38.0583,9.2769,196,5
296,19,11,32.596,3.3772,4.0,0.4575,118.5919,5.7203,11.5295,29.2188,9.2753,197,4
85,5,10,31.8954,4.0872,3.0,0.4447,93.6672,9.5001,10.5338,27.8082,9.2449,198,4
17,1,2,36.2167,3.9457,5.0,0.4163,103.4332,9.4082,11.0668,40.1624,9.2432,199,0
193,12,13,44.0577,6.1455,6.0,0.5345,110.1301,8.9232,8.755,37.9123,9.2056,200,5
106,7,1,44.2228,2.4028,6.0,0.4659,107.7154,9.6394,9.1822,46.6256,9.1847,201,0
181,12,1,40.3316,1.2985,6.0,0.652,124.3622,9.4926,8.4168,41.63,9.144,202,0
222,14,12,32.9924,2.0598,5.0,0.6603,103.2034,8.2068,8.8716,30.9326,9.1439,203,4
288,19,3,30.8315,2.3694,4.0,0.5483,115.9864,10.4033,9.0837,33.201,9.1213,204,1
107,7,2,40.0557,0.6828,5.0,0.5995,117.9684,8.7513,9.47,40.7386,9.1078,205,0
178,11,13,40.5951,1.2393,6.0,0.4808,105.4831,7.5137,10.8495,41.8344,9.0713,206,5
198,13,3,26.797,0.1913,4.0,0.2811,132.2067,11.1461,12.5542,26.9882,9.0612,207,1
227,15,2,38.2933,5.5457,5.0,0.5158,128.5591,8.403,9.1842,32.7476,9.0036,208,0
196,13,1,40.7423,3.5994,6.0,0.2602,134.9656,9.5894,9.5113,37.1429,8.8894,209,0
32,2,2,39.0125,0.015,5.0,0.4161,100.2578,9.9208,8.2784,38.9976,8.8767,210,0
253,16,13,36.4302,3.4281,6.0,0.7242,115.2487,9.1994,7.8496,39.8583,8.874,211,5
149,9,14,50.6342,2.0634,7.0,0.506,92.355,8.6607,6.765,48.5708,8.8667,212,5
117,7,12,41.1384,1.4199,5.0,0.6593,103.986,9.2803,8.1674,42.5584,8.8508,213,4
27,1,12,40.1897,0.8822,5.0,0.492,97.4011,9.0621,8.8675,39.3075,8.8373,214,4
197,13,2,31.6285,1.5051,5.0,0.4597,133.9738,8.9833,9.0611,33.1336,8.7936,215,0
134,8,14,47.3314,2.024,7.0,0.5714,99.7251,7.931,8.5655,49.3554,8.7289,216,5
78,5,3,38.3112,1.747,4.0,0.7125,111.1016,7.1051,8.4448,36.5643,8.716,217,1
180,12,0,49.5914,7.3574,7.0,0.4868,126.0904,9.0275,9.2833,42.234,8.6914,218,0
61,4,1,47.3125,0.064,6.0,0.526,108.8595,9.1116,8.6643,47.3764,8.6391,219,0
103,6,13,50.2165,1.7432,6.0,0.4328,94.5444,8.7591,7.9117,48.4733,8.6229,220,5
86,5,11,35.0263,1.7703,4.0,0.5728,102.3264,5.7325,8.983,36.7965,8.5963,221,4
87,5,12,42.4719,1.1227,5.0,0.5629,106.487,9.5687,8.1801,41.3492,8.5865,222,4
148,9,13,47.361,3.9879,6.0,0.6138,98.0263,7.0748,7.5206,43.3731,8.5677,223,5
298,19,13,38.4379,5.1314,6.0,0.509,124.831,11.1002,5.9672,43.5693,8.5525,224,5
257,17,2,33.438,0.0425,5.0,0.3761,136.8997,9.3669,5.0744,33.4804,8.439,225,0
40,2,10,30.779,2.1628,3.0,0.265,79.5448,7.9715,15.0423,28.6162,8.4072,226,4
211,14,1,34.4835,7.1971,6.0,0.4443,124.3768,7.2433,9.4758,41.6806,8.3671,227,0
101,6,11,39.9016,4.7512,4.0,0.5436,96.0395,6.8228,8.4646,35.1504,8.3059,228,4
284,18,14,44.7291,2.1651,7.0,0.5457,108.7534,7.8053,6.1074,46.8941,8.2927,229,5
59,3,14,56.5696,5.6659,7.0,0.4423,84.9097,8.2995,8.1582,50.9037,8.2256,230,5
151,10,1,39.3976,2.692,6.0,0.5219,118.6059,7.6267,7.5767,42.0896,8.1695,231,0
194,12,14,42.3523,2.8731,7.0,0.423,91.2063,6.7025,11.1395,45.2254,8.1561,232,5
105,7,0,52.4565,2.8245,7.0,0.4281,108.6923,8.1038,8.306,49.632,8.1316,233,0
104,6,14,51.2031,1.5787,7.0,0.5225,101.8934,8.3867,7.9349,52.7818,8.1044,234,5
118,7,13,51.8782,4.6815,6.0,0.4717,94.1924,7.2123,8.7688,47.1967,8.0844,235,5
147,9,12,37.7406,2.8161,5.0,0.4602,106.6304,8.5013,7.1201,40.5567,8.0702,236,4
210,14,0,47.2104,6.5573,7.0,0.2727,128.8833,9.1832,8.9625,40.653,8.0433,237,0
34,2,4,30.3972,1.6834,3.0,0.5439,98.0161,9.0564,7.9333,28.7138,8.0121,238,1
269,17,14,46.5667,3.1967,7.0,0.4826,115.1273,7.1196,8.2688,43.37,7.9998,239,5
58,3,13,45.0673,4.8761,6.0,0.3764,98.7002,7.6791,11.0824,49.9434,7.9783,240,5
29,1,14,52.3859,2.3556,7.0,0.3978,64.1978,7.4413,9.2168,50.0303,7.9682,241,5
88,5,13,49.8767,0.3089,6.0,0.5132,89.3293,7.6022,8.203,49.5678,7.9417,242,5
282,18,12,38.8427,3.7266,5.0,0.4647,111.6112,6.2335,9.7135,35.116,7.9193,243,4
136,9,1,45.1036,1.7353,6.0,0.4159,125.2221,9.1021,6.8984,43.3682,7.8799,244,0
272,18,2,35.7685,1.8948,5.0,0.5314,141.2943,7.5941,5.9042,37.6633,7.8764,245,0
108,7,3,37.5938,3.2106,4.0,0.2808,110.2277,8.032,10.0791,34.3832,7.8445,246,1
254,16,14,44.6549,2.6312,7.0,0.4495,115.7286,9.0718,7.5396,42.0238,7.8418,247,5
223,14,13,35.2095,2.1355,6.0,0.457,94.0668,6.9453,7.9948,37.345,7.8301,248,5
19,1,4,26.9436,0.3763,3.0,0.3986,110.1094,5.8541,13.7394,26.5673,7.8224,249,1
268,17,13,40.7259,0.2153,6.0,0.5458,112.321,7.9293,9.111,40.5105,7.8214,250,5
120,8,0,48.6733,0.0551,7.0,0.4711,117.7306,8.3664,7.4596,48.6181,7.7855,251,0
122,8,2,40.4038,0.8053,5.0,0.4287,97.2541,7.9462,7.3682,41.209,7.7666,252,0
137,9,2,40.6774,1.8921,5.0,0.3716,123.9561,5.6919,9.853,38.7853,7.7548,253,0
132,8,12,41.6492,3.2568,5.0,0.4843,104.8899,6.8463,8.5222,38.3925,7.6199,254,4
280,18,10,25.5008,1.6214,3.0,0.2508,125.3045,6.8389,15.0036,23.8793,7.583,255,4
166,11,1,43.7458,3.7264,6.0,0.4448,123.669,5.0934,8.9562,40.0193,7.5642,256,0
64,4,4,32.4508,1.4141,3.0,0.525,103.8473,7.8966,7.2362,31.0367,7.5316,257,1
225,15,0,45.3475,0.0478,7.0,0.4069,132.7329,7.318,10.422,45.3953,7.4544,258,0
121,8,1,46.2816,1.6808,6.0,0.3795,126.0242,7.7412,8.7635,44.6009,7.4331,259,0
212,14,2,32.5545,0.2007,5.0,0.5119,129.5231,5.5518,9.1474,32.3539,7.4027,260,0
