cell_id,sigungu,dong,x_m,y_m,n_poi,n_food,n_infra,pop_offpeak,pop_peak,orders_per_hour,hub_minutes,bundle,cost_per_order,margin_per_order,cell_margin_per_hour,outside_offpeak,outside_peak,infra_walk_min,infra_weak,is_hub
33,종로구,종로1.2.3.4가동,954750.0,1952250.0,1138,427,91,16401.5003,10535.1657,19.6818,1.8409,2.0,2752.2727,1747.7273,34398.4193,False,False,0.8598,False,False
34,종로구,종로1.2.3.4가동,955250.0,1952250.0,597,100,24,8604.302,5526.7961,10.3252,2.6034,2.0,2981.0316,1518.9684,15683.5956,False,True,1.5309,False,False
35,종로구,종로1.2.3.4가동,955750.0,1952250.0,509,100,10,7335.9962,4712.126,8.8032,4.1164,2.0,3434.9194,1065.0806,9376.113,False,True,4.0938,False,False
36,종로구,종로5.6가동,956250.0,1952250.0,536,147,19,11361.3762,6571.2028,13.6337,5.5227,2.0,3856.8182,643.1818,8768.9168,False,True,3.836,False,False
37,종로구,창신1동,956750.0,1952250.0,215,37,8,1682.2994,1332.4758,2.0188,5.8215,1.3365,4813.5311,-313.5311,-632.9438,True,True,3.7403,False,False
38,종로구,창신1동,957250.0,1952250.0,162,26,1,1267.593,1004.005,1.5211,6.6375,1.2535,5377.0532,-877.0532,-1334.0958,True,True,3.0664,False,False
39,서대문구,북가좌1동,947250.0,1952750.0,12,0,0,767.4773,918.0288,0.921,5.2069,1.1535,4908.3993,-408.3993,-376.1247,True,True,5.786,True,False
40,서대문구,북가좌1동,947750.0,1952750.0,58,20,4,3709.4736,4437.1391,4.4514,4.1164,1.7419,3617.9036,882.0964,3926.5362,False,True,0.503,False,False
41,서대문구,남가좌1동,948250.0,1952750.0,225,72,22,3434.0249,3985.9132,4.1208,3.6818,1.6868,3509.6303,990.3697,4081.1451,False,True,2.4292,False,False
42,서대문구,남가좌1동,948750.0,1952750.0,189,56,9,2884.581,3348.1671,3.4615,4.1164,1.5769,3766.246,733.754,2539.8873,False,False,2.2704,False,False
43,서대문구,연희동,949250.0,1952750.0,102,17,4,1625.0168,1615.0884,1.95,5.2069,1.325,4557.8252,-57.8252,-112.7603,True,False,3.8686,False,False
44,서대문구,연희동,949750.0,1952750.0,114,26,3,1816.1952,1805.0988,2.1794,5.8215,1.3632,4762.1914,-262.1914,-571.429,True,False,2.7287,False,False
45,서대문구,연희동,950250.0,1952750.0,186,49,5,2963.2659,2945.1612,3.5559,5.5227,1.5927,4280.5762,219.4238,780.2532,False,False,0.7119,False,False
46,서대문구,천연동,951750.0,1952750.0,22,3,2,439.9511,501.8182,0.5279,5.2069,1.088,5071.4655,-571.4655,-301.7002,True,True,2.7218,False,False
47,종로구,교남동,952250.0,1952750.0,246,70,23,5041.7939,4744.7341,6.0502,4.1164,2.0,3434.9194,1065.0806,6443.9005,False,True,0.8706,False,False
48,종로구,교남동,952750.0,1952750.0,142,24,5,2910.3038,2738.8303,3.4924,2.6034,1.5821,3187.3598,1312.6402,4584.2182,False,True,4.1923,False,False
49,종로구,사직동,953250.0,1952750.0,502,227,27,7237.8417,4790.8703,8.6854,1.8409,2.0,2752.2727,1747.7273,15179.728,False,True,0.8138,False,False
50,종로구,사직동,953750.0,1952750.0,785,316,24,11318.1389,7491.6995,13.5818,2.6034,2.0,2981.0316,1518.9684,20630.2747,False,True,2.8715,False,False
51,종로구,종로1.2.3.4가동,954250.0,1952750.0,1648,529,73,23751.909,15256.5493,28.5023,1.8409,2.0,2752.2727,1747.7273,49814.231,False,False,0.2276,False,False
52,종로구,종로1.2.3.4가동,954750.0,1952750.0,1773,580,45,25553.4798,16413.7512,30.6642,0.0,2.0,2200.0,2300.0,70527.6043,False,False,1.1267,False,True
53,종로구,종로1.2.3.4가동,955250.0,1952750.0,786,281,9,11328.277,7276.4853,13.5939,1.8409,2.0,2752.2727,1747.7273,23758.4864,False,False,1.9354,False,False
54,종로구,종로1.2.3.4가동,955750.0,1952750.0,953,221,25,13735.1756,8822.507,16.4822,3.6818,2.0,3304.5455,1195.4545,19703.7337,False,True,1.6674,False,False
55,종로구,종로5.6가동,956250.0,1952750.0,602,196,60,12760.3517,7380.3435,15.3124,3.6818,2.0,3304.5455,1195.4545,18305.3045,False,True,1.9332,False,False
56,종로구,창신2동,956750.0,1952750.0,578,205,41,4679.8501,5174.7451,5.6158,4.1164,1.936,3475.7629,1024.2371,5751.9314,False,True,0.9871,False,False
57,종로구,창신1동,957250.0,1952750.0,815,182,72,6377.0883,5051.0129,7.6525,5.2069,2.0,3762.0632,737.9368,5647.0661,False,True,0.7552,False,False
58,종로구,숭인2동,957750.0,1952750.0,485,107,21,9635.5529,7516.2108,11.5627,6.6375,2.0,4191.2476,308.7524,3569.9997,False,True,1.6061,False,False
59,은평구,증산동,946750.0,1953250.0,13,7,0,255.9846,290.1925,0.3072,5.8215,1.0512,5522.7641,-1022.7641,-314.1742,True,True,6.6415,True,False
60,서대문구,북가좌1동,947250.0,1953250.0,109,36,10,6971.2521,8338.7614,8.3655,4.1164,2.0,3434.9194,1065.0806,8909.9348,False,True,1.0703,False,False
61,서대문구,북가좌2동,947750.0,1953250.0,254,50,25,5758.1411,6850.4017,6.9098,2.6034,2.0,2981.0316,1518.9684,10495.7214,False,True,1.789,False,False
62,서대문구,북가좌2동,948250.0,1953250.0,172,37,11,3899.2137,4638.8547,4.6791,1.8409,1.7798,2820.586,1679.414,7858.0729,False,False,0.9811,False,False
63,서대문구,남가좌2동,948750.0,1953250.0,244,67,23,6240.6701,6925.8194,7.4888,2.6034,2.0,2981.0316,1518.9684,11375.2569,False,False,1.4553,False,False
64,서대문구,남가좌2동,949250.0,1953250.0,461,177,35,11790.7742,13085.2572,14.1489,4.1164,2.0,3434.9194,1065.0806,15069.7504,False,False,1.2797,False,False
65,서대문구,연희동,949750.0,1953250.0,187,46,6,2979.1975,2960.9954,3.575,5.8215,1.5958,4388.7411,111.2589,397.7548,False,False,0.9254,False,False
66,서대문구,연희동,950250.0,1953250.0,134,28,2,2134.826,2121.7828,2.5618,5.8215,1.427,4647.7678,-147.7678,-378.5502,True,False,1.8376,False,False
67,서대문구,홍제1동,951750.0,1953250.0,12,3,0,536.9164,610.7511,0.6443,5.5227,1.1074,5192.3121,-692.3121,-446.0564,True,True,6.3017,True,False
68,종로구,무악동,952250.0,1953250.0,62,9,8,5246.8357,5758.0793,6.2962,3.6818,2.0,3304.5455,1195.4545,7526.8243,False,True,4.507,False,False
69,종로구,사직동,952750.0,1953250.0,25,7,0,360.4503,238.5892,0.4325,1.8409,1.0721,3230.273,1269.727,549.2081,False,True,6.7631,True,False
70,종로구,사직동,953250.0,1953250.0,1030,434,42,14850.5517,9829.8733,17.8207,0.0,2.0,2200.0,2300.0,40987.5228,False,True,1.9596,False,True
71,종로구,사직동,953750.0,1953250.0,100,32,0,1441.8011,954.3566,1.7302,1.8409,1.2884,3057.3266,1442.6734,2496.0578,False,True,5.7412,True,False
72,종로구,삼청동,954250.0,1953250.0,361,128,7,4186.1052,2527.9616,5.0233,2.6034,1.8372,3050.2315,1449.7685,7282.6603,False,True,3.147,False,False
73,종로구,가회동,954750.0,1953250.0,551,231,19,6008.36,3198.232,7.21,1.8409,2.0,2752.2727,1747.7273,12601.1695,False,False,1.0044,False,False
74,종로구,종로1.2.3.4가동,955250.0,1953250.0,139,31,2,2003.3467,1286.8085,2.404,2.6034,1.4007,3315.2262,1184.7738,2848.2152,False,True,4.536,False,False
75,종로구,이화동,955750.0,1953250.0,152,35,5,7148.8641,4798.9401,8.5786,2.6034,2.0,2981.0316,1518.9684,13030.6785,False,True,3.2562,False,False
76,종로구,이화동,956250.0,1953250.0,295,105,11,13874.4401,9313.7325,16.6493,1.8409,2.0,2752.2727,1747.7273,29098.4849,False,False,0.3143,False,False
77,종로구,창신2동,956750.0,1953250.0,143,27,1,1157.8176,1280.257,1.3894,2.6034,1.2316,3468.3578,1031.6422,1433.3442,False,True,1.2877,False,False
78,종로구,숭인1동,957250.0,1953250.0,177,42,12,8107.1454,8485.9251,9.7286,4.1164,2.0,3434.9194,1065.0806,10361.7163,False,True,0.5184,False,False
79,종로구,숭인2동,957750.0,1953250.0,178,52,9,3536.3472,2758.5269,4.2436,5.8215,1.7073,4245.8864,254.1136,1078.3605,False,True,2.1621,False,False
80,은평구,수색동,946250.0,1953750.0,39,10,1,1441.4087,1601.128,1.7297,7.3636,1.2883,5629.5152,-1129.5152,-1953.7117,True,True,4.1869,False,False
81,은평구,수색동,946750.0,1953750.0,174,54,12,6430.9005,7143.494,7.7171,5.5227,2.0,3856.8182,643.1818,4963.4859,False,True,0.747,False,False
82,은평구,증산동,947250.0,1953750.0,88,24,1,1732.8187,1964.3803,2.0794,3.6818,1.3466,3840.5394,659.4606,1371.2707,False,True,3.3124,False,False
83,은평구,증산동,947750.0,1953750.0,229,66,11,4509.2668,5111.8532,5.4111,1.8409,1.9019,2780.7732,1719.2268,9302.9427,False,False,1.639,False,False
84,서대문구,북가좌2동,948250.0,1953750.0,451,139,51,10224.1009,12163.5084,12.2689,0.0,2.0,2200.0,2300.0,28218.5186,False,False,0.7442,False,True
85,서대문구,북가좌2동,948750.0,1953750.0,169,40,5,3831.2041,4557.9444,4.5974,1.8409,1.7662,2825.3651,1674.6349,7699.0415,False,False,1.3869,False,False
86,서대문구,홍은2동,949250.0,1953750.0,416,151,33,8671.1391,9295.1947,10.4054,3.6818,2.0,3304.5455,1195.4545,12439.1432,False,False,0.4317,False,False
87,서대문구,홍은2동,949750.0,1953750.0,29,4,3,604.4784,647.9823,0.7254,5.2069,1.1209,4987.1695,-487.1695,-353.3802,True,False,2.2888,False,False
88,서대문구,홍은2동,950250.0,1953750.0,179,61,18,3731.0911,3999.615,4.4773,4.1164,1.7462,3614.3929,885.6071,3965.1368,False,False,0.1844,False,False
89,서대문구,홍제1동,950750.0,1953750.0,11,1,1,492.1733,559.8551,0.5906,3.6818,1.0984,4211.1264,288.8736,170.6111,False,True,6.0732,True,False
90,서대문구,홍제1동,951250.0,1953750.0,101,20,11,4519.046,5140.4882,5.4229,4.1164,1.9038,3497.3142,1002.6858,5437.4198,False,True,3.0262,False,False
91,서대문구,홍제2동,951750.0,1953750.0,49,4,2,819.5569,1084.9404,0.9835,5.2069,1.1639,4884.1617,-384.1617,-377.8108,True,True,4.0608,False,False
92,종로구,청운효자동,952750.0,1953750.0,129,30,1,3435.461,2675.6255,4.1226,2.6034,1.6871,3125.8908,1374.1092,5664.8383,False,True,2.2463,False,False
93,종로구,청운효자동,953250.0,1953750.0,489,147,11,13022.7941,10142.4873,15.6274,1.8409,2.0,2752.2727,1747.7273,27312.351,False,True,1.8536,False,False
94,종로구,청운효자동,953750.0,1953750.0,6,1,0,159.7889,124.4477,0.1917,2.6034,1.032,3713.689,786.311,150.7725,False,True,6.8074,True,False
95,종로구,삼청동,954250.0,1953750.0,371,92,6,4302.0638,2597.9882,5.1625,4.1164,1.8604,3527.5757,972.4243,5020.1178,False,True,1.0164,False,False
96,종로구,가회동,954750.0,1953750.0,324,47,8,3533.0465,1880.6301,4.2397,3.6818,1.7066,3494.4327,1005.5673,4263.2592,False,True,1.5668,False,False
97,종로구,혜화동,955750.0,1953750.0,780,389,50,16167.7025,16849.0459,19.4012,1.8409,2.0,2752.2727,1747.7273,33908.0816,False,False,0.7601,False,False
98,종로구,이화동,956250.0,1953750.0,705,240,38,33157.5603,22258.242,39.7891,0.0,2.0,2200.0,2300.0,91514.8665,False,False,1.547,False,True
99,종로구,창신3동,956750.0,1953750.0,18,2,2,1149.8282,1466.0368,1.3798,1.8409,1.23,3098.0295,1401.9705,1934.4303,False,True,3.4332,False,False
100,종로구,창신3동,957250.0,1953750.0,34,5,1,2171.8978,2769.1807,2.6063,3.6818,1.4344,3740.1021,759.8979,1980.5048,False,True,4.6844,False,False
101,은평구,수색동,945750.0,1954250.0,10,1,1,369.592,410.5456,0.4435,9.3868,1.0739,7444.4384,-2944.4384,-1305.889,True,True,4.4857,False,False
102,은평구,수색동,946250.0,1954250.0,41,7,3,1515.3271,1683.2371,1.8184,7.5903,1.3031,5694.957,-1194.957,-2172.9008,True,True,1.4556,False,False
103,은평구,수색동,946750.0,1954250.0,55,17,3,2032.7559,2258.001,2.4393,5.8215,1.4066,4683.2935,-183.2935,-447.1092,True,True,4.0922,False,False
104,은평구,수색동,947250.0,1954250.0,15,1,0,554.388,615.8185,0.6653,4.1164,1.1109,4423.3221,76.6779,51.0112,False,True,5.4638,True,False
105,은평구,증산동,947750.0,1954250.0,199,47,10,3918.5331,4442.1781,4.7022,2.6034,1.7837,3075.74,1424.26,6697.2122,False,True,1.3654,False,False
106,은평구,응암3동,948250.0,1954250.0,306,99,26,3418.4187,4088.0379,4.1021,1.8409,1.6837,2856.0291,1643.9709,6743.7373,False,False,2.4603,False,False
107,은평구,응암3동,948750.0,1954250.0,511,152,27,5708.5359,6826.7561,6.8502,2.6034,2.0,2981.0316,1518.9684,10405.3029,False,True,1.4381,False,False
108,서대문구,홍은2동,949250.0,1954250.0,124,29,12,2584.6665,2770.683,3.1016,4.1164,1.5169,3828.1789,671.8211,2083.7203,False,False,1.189,False,False
109,서대문구,홍은2동,949750.0,1954250.0,10,0,0,208.4408,223.4422,0.2501,4.1164,1.0417,4570.9962,-70.9962,-17.7582,True,True,9.5655,True,False
110,서대문구,홍제1동,950250.0,1954250.0,86,20,1,3847.9005,4377.0493,4.6175,2.6034,1.7696,3082.731,1417.269,6544.2123,False,True,3.4499,False,False
111,서대문구,홍제1동,950750.0,1954250.0,197,68,13,8814.3768,10026.4967,10.5773,1.8409,2.0,2752.2727,1747.7273,18486.1521,False,False,3.4382,False,False
112,서대문구,홍제2동,951250.0,1954250.0,423,96,63,7074.9507,9365.9137,8.4899,2.6034,2.0,2981.0316,1518.9684,12895.9521,False,True,0.739,False,False
113,종로구,청운효자동,952750.0,1954250.0,15,1,0,399.4722,311.1192,0.4794,4.1164,1.0799,4487.1112,12.8888,6.1784,False,True,7.0913,True,False
114,종로구,청운효자동,953250.0,1954250.0,97,24,2,2583.2536,2011.9044,3.0999,3.6818,1.5167,3656.5588,843.4412,2614.5872,False,True,0.935,False,False
115,종로구,청운효자동,953750.0,1954250.0,3,1,0,79.8944,62.2238,0.0959,4.1164,1.016,4630.9941,-130.9941,-12.5588,True,True,7.4543,True,False
116,종로구,삼청동,954250.0,1954250.0,154,49,3,1785.7623,1078.4102,2.1429,5.2069,1.3572,4501.9715,-1.9715,-4.2248,True,True,1.0752,False,False
117,종로구,가회동,954750.0,1954250.0,10,0,0,109.0446,58.0441,0.1309,5.5227,1.0218,5442.9119,-942.9119,-123.3834,True,True,7.1189,True,False
118,종로구,혜화동,955250.0,1954250.0,65,19,1,1347.3085,1404.0872,1.6168,4.1164,1.2695,4145.5795,354.4205,573.0165,False,True,5.1344,False,False
119,종로구,혜화동,955750.0,1954250.0,462,132,30,9576.2546,9979.8195,11.4915,2.6034,2.0,2981.0316,1518.9684,17455.2339,False,True,0.3747,False,False
120,종로구,혜화동,956250.0,1954250.0,53,14,1,1098.5747,1144.8711,1.3183,1.8409,1.2197,3105.5767,1394.4233,1838.2537,False,True,3.4001,False,False
121,은평구,수색동,945750.0,1954750.0,16,4,0,591.3472,656.873,0.7096,9.9136,1.1183,7519.0753,-3019.0753,-2142.3859,True,True,9.262,True,False
122,은평구,신사2동,947250.0,1954750.0,19,3,1,602.5591,662.7628,0.7231,5.2069,1.1205,4988.1244,-488.1244,-352.9486,True,True,4.4741,False,False
123,은평구,신사2동,947750.0,1954750.0,144,33,3,4566.7641,5023.044,5.4801,4.1164,1.9134,3490.8433,1009.1567,5530.2965,False,True,2.953,False,False
124,은평구,응암3동,948250.0,1954750.0,437,172,28,4881.8595,5838.1456,5.8582,3.6818,1.9764,3317.7506,1182.2494,6925.8904,False,True,1.709,False,False
125,은평구,응암3동,948750.0,1954750.0,329,88,27,3675.3587,4395.3087,4.4104,4.1164,1.7351,3623.4793,876.5207,3865.8336,False,True,1.7784,False,False
126,은평구,응암2동,949250.0,1954750.0,59,7,4,1474.561,1631.3694,1.7695,5.2069,1.2949,4612.6163,-112.6163,-199.2716,True,True,3.4519,False,False
127,서대문구,홍은2동,950250.0,1954750.0,64,12,1,1334.0214,1430.03,1.6008,1.8409,1.2668,3071.9148,1428.0852,2286.1154,False,True,1.1954,False,False
128,서대문구,홍제3동,950750.0,1954750.0,585,168,70,6019.8701,6750.5225,7.2238,0.0,2.0,2200.0,2300.0,16614.8416,False,False,0.7884,False,True
129,서대문구,홍제3동,951250.0,1954750.0,335,119,17,3447.2761,3865.6838,4.1367,1.8409,1.6895,2853.7879,1646.2121,6809.9369,False,False,0.279,False,False
130,서대문구,홍제3동,951750.0,1954750.0,11,0,0,113.1941,126.9329,0.1358,3.6818,1.0226,4360.1868,139.8132,18.9912,False,True,8.7443,True,False
131,종로구,부암동,952250.0,1954750.0,10,0,0,177.2835,169.143,0.2127,5.5227,1.0355,5400.169,-900.169,-191.5021,True,True,5.9779,True,False
132,종로구,부암동,952750.0,1954750.0,77,27,1,1365.0827,1302.4014,1.6381,5.8215,1.273,4943.7817,-443.7817,-726.9584,True,True,5.0143,False,False
133,종로구,청운효자동,953250.0,1954750.0,8,0,0,213.0518,165.9303,0.2557,5.5227,1.0426,5378.2116,-878.2116,-224.5255,True,True,8.4575,True,False
134,종로구,삼청동,954250.0,1954750.0,3,0,1,34.7876,21.008,0.0417,6.6375,1.007,6154.9784,-1654.9784,-69.0872,True,True,4.5821,False,False
135,종로구,혜화동,955250.0,1954750.0,73,31,0,1513.1311,1576.8979,1.8158,5.2069,1.3026,4598.3291,-98.3291,-178.5417,True,True,6.2975,True,False
136,종로구,혜화동,955750.0,1954750.0,86,19,2,1782.5928,1857.7153,2.1391,4.1164,1.3565,4020.7187,479.2813,1025.2361,False,True,1.2563,False,False
137,종로구,혜화동,956250.0,1954750.0,4,0,0,82.9113,86.4054,0.0995,3.6818,1.0166,4373.0567,126.9433,12.63,False,True,8.4632,True,False
138,은평구,신사2동,947250.0,1955250.0,5,1,0,158.5682,174.4113,0.1903,5.2069,1.0317,5228.0944,-728.0944,-138.5431,True,True,10.0319,True,False
139,은평구,신사2동,947750.0,1955250.0,184,29,19,5835.3096,6418.334,7.0024,4.1164,2.0,3434.9194,1065.0806,7458.0904,False,True,1.8287,False,False
140,은평구,신사1동,948250.0,1955250.0,284,72,11,4206.1857,5345.5165,5.0474,3.6818,1.8412,3399.7862,1100.2138,5553.2442,False,True,0.0642,False,False
141,은평구,응암2동,948750.0,1955250.0,467,144,50,11671.525,12912.7032,14.0058,4.1164,2.0,3434.9194,1065.0806,14917.3384,False,True,0.0943,False,False
142,은평구,응암2동,949250.0,1955250.0,52,16,3,1299.6131,1437.8171,1.5595,5.2069,1.2599,4679.6176,-179.6176,-280.1201,True,True,3.9655,False,False
143,서대문구,홍은2동,949750.0,1955250.0,10,1,0,208.4408,223.4422,0.2501,4.1164,1.0417,4570.9962,-70.9962,-17.7582,True,True,6.5091,True,False
144,서대문구,홍은2동,950250.0,1955250.0,28,2,1,583.6344,625.6381,0.7004,2.6034,1.1167,3598.7871,901.2129,631.1746,False,True,4.4222,False,False
145,서대문구,홍은1동,950750.0,1955250.0,82,17,5,2409.257,3130.1528,2.8911,1.8409,1.4819,2945.3821,1554.6179,4494.569,False,False,2.1411,False,False
146,서대문구,홍제3동,951250.0,1955250.0,329,90,20,3385.5338,3796.4477,4.0626,2.6034,1.6771,3131.4035,1368.5965,5560.1155,False,True,1.6253,False,False
147,서대문구,홍은1동,951750.0,1955250.0,16,0,0,470.0989,610.7615,0.5641,4.1164,1.094,4457.5814,42.4186,23.9291,False,True,6.7687,True,False
148,종로구,부암동,952250.0,1955250.0,5,0,0,88.6417,84.5715,0.1064,5.8215,1.0177,5632.0351,-1132.0351,-120.4147,True,True,6.4474,True,False
149,종로구,부암동,952750.0,1955250.0,95,25,2,1684.1929,1606.8588,2.021,7.5903,1.3368,5606.6623,-1106.6623,-2236.5993,True,True,3.2319,False,False
150,종로구,부암동,953250.0,1955250.0,14,6,0,248.1968,236.8002,0.2978,7.3636,1.0496,6409.2379,-1909.2379,-568.6402,True,True,10.3057,True,False
151,은평구,신사1동,947250.0,1955750.0,13,3,0,192.5367,244.6891,0.231,4.1164,1.0385,4578.2583,-78.2583,-18.0811,True,True,8.7329,True,False
152,은평구,신사1동,947750.0,1955750.0,341,76,37,5050.3849,6418.3843,6.0605,2.6034,2.0,2981.0316,1518.9684,9205.6502,False,True,0.461,False,False
153,은평구,신사1동,948250.0,1955750.0,410,113,44,6072.3103,7717.1189,7.2868,1.8409,2.0,2752.2727,1747.7273,12735.2908,False,False,1.6821,False,False
154,은평구,응암1동,948750.0,1955750.0,616,174,88,8822.3639,10438.211,10.5868,2.6034,2.0,2981.0316,1518.9684,16081.0706,False,True,0.1594,False,False
155,은평구,응암1동,949250.0,1955750.0,360,97,46,5155.927,6100.2532,6.1871,4.1164,2.0,3434.9194,1065.0806,6589.7736,False,True,1.9992,False,False
156,은평구,응암1동,949750.0,1955750.0,316,95,32,4525.7581,5354.6667,5.4309,3.6818,1.9052,3359.5355,1140.4645,6193.7599,False,True,1.7834,False,False
157,은평구,녹번동,950250.0,1955750.0,150,26,7,4815.4281,5299.9619,5.7785,4.1164,1.9631,3458.1411,1041.8589,6020.3958,False,True,1.1912,False,False
158,서대문구,홍은1동,950750.0,1955750.0,23,6,1,675.7672,877.9697,0.8109,3.6818,1.1352,4146.0725,353.9275,287.0071,False,True,4.4461,False,False
159,서대문구,홍은1동,951250.0,1955750.0,234,70,17,6875.1969,8932.3874,8.2502,4.1164,2.0,3434.9194,1065.0806,8787.1669,False,True,1.5118,False,False
160,종로구,부암동,951750.0,1955750.0,26,12,0,460.937,439.7719,0.5531,5.2069,1.0922,5060.4307,-560.4307,-309.9879,True,True,7.2585,True,False
