cell,row,col,pop,access_도서관,access_돌봄,access_공원,access_체육,access_composite,deficit_min,priority_score,priority_rank
103,6,13,6556.0,7.5,27.0416,23.7171,64.5174,30.694,15.694,102890.1205,30
53,3,8,4615.0,30.9233,50.3115,23.7171,42.4264,36.8446,21.8446,100812.7263,31
282,18,12,3527.0,76.4853,48.0234,33.541,15.0,43.2624,28.2624,99681.6119,32
2,0,2,2609.0,60.4669,60.4669,33.541,54.6008,52.2689,37.2689,97234.6319,33
26,1,11,2882.0,38.2426,60.0,27.0416,69.1466,48.6077,33.6077,96857.4378,34
59,3,14,3848.0,27.0416,50.3115,0.0,80.7775,39.5327,24.5327,94401.672,35
34,2,4,4478.0,45.6207,45.6207,15.0,37.5,35.9354,20.9354,93748.5398,36
132,8,12,10032.0,15.0,10.6066,23.7171,48.0234,24.3368,9.3368,93666.5668,37
67,4,7,6613.0,27.0416,42.4264,15.0,31.8198,29.072,14.072,93057.8824,38
178,11,13,5924.0,31.8198,21.2132,30.9233,38.2426,30.5497,15.5497,92116.6407,39
50,3,5,5704.0,40.3887,40.3887,10.6066,30.9233,30.5768,15.5768,88850.3039,40
54,3,9,3805.0,30.0,47.4342,27.0416,48.0234,38.1248,23.1248,87989.8937,41
88,5,13,4975.0,10.6066,33.541,16.7705,69.1466,32.5162,17.5162,87142.9888,42
177,11,12,8844.0,27.0416,15.0,23.7171,33.541,24.8249,9.8249,86891.7178,43
83,5,8,9021.0,16.7705,37.5,10.6066,33.541,24.6045,9.6045,86642.4904,44
66,4,6,6684.0,31.8198,37.5,15.0,27.0416,27.8404,12.8404,85824.9658,45
65,4,5,8935.0,33.541,33.541,7.5,23.7171,24.5748,9.5748,85550.6633,46
46,3,1,4226.0,40.3887,40.3887,21.2132,37.5,34.8727,19.8727,83981.8987,47
226,15,1,9152.0,27.0416,7.5,31.8198,30.0,24.0904,9.0904,83194.9741,48
265,17,10,5470.0,64.5174,31.8198,16.7705,7.5,30.1519,15.1519,82881.1043,49
133,8,13,5665.0,16.7705,16.7705,30.9233,53.033,29.3743,14.3743,81430.5801,50
36,2,6,3385.0,43.7321,50.3115,21.2132,40.3887,38.9114,23.9114,80940.0959,51
73,4,13,4101.0,16.7705,40.3887,10.6066,71.1512,34.7293,19.7293,80909.7516,52
116,7,11,10284.0,10.6066,15.0,15.0,50.3115,22.7295,7.7295,79490.5153,53
87,5,12,5153.0,7.5,30.9233,21.2132,61.8466,30.3708,15.3708,79205.5778,54
89,5,14,3746.0,16.7705,37.5,15.0,75.0,36.0676,21.0676,78919.3325,55
117,7,12,7610.0,7.5,16.7705,22.5,54.0833,25.2134,10.2134,77724.3145,56
82,5,7,9348.0,21.2132,37.5,7.5,27.0416,23.3137,8.3137,77716.5564,57
86,5,11,5402.0,10.6066,30.0,21.2132,54.6008,29.1052,14.1052,76196.0599,58
48,3,3,5266.0,37.5,37.5,10.6066,30.9233,29.1325,14.1325,74421.6053,59
221,14,11,7182.0,45.6207,23.7171,15.0,16.7705,25.2771,10.2771,73809.9729,60
278,18,8,5331.0,58.5769,30.9233,15.0,10.6066,28.7767,13.7767,73443.543,61
147,9,12,8574.0,16.7705,7.5,27.0416,42.4264,23.4346,8.4346,72318.5846,62
222,14,12,5563.0,47.4342,27.0416,22.5,15.0,27.9939,12.9939,72285.3431,63
27,1,12,2122.0,37.5,60.4669,21.2132,75.0,48.545,33.545,71182.5624,64
192,12,12,6598.0,33.541,16.7705,22.5,30.0,25.7029,10.7029,70617.6179,65
23,1,8,1967.0,45.6207,64.08,37.5,54.0833,50.321,35.321,69476.415,66
163,10,13,4523.0,27.0416,16.7705,33.541,43.7321,30.2713,15.2713,69072.2067,67
100,6,10,9030.0,10.6066,23.7171,10.6066,45.6207,22.6378,7.6378,68968.8935,68
84,5,9,6188.0,15.0,33.541,15.0,40.3887,25.9824,10.9824,67959.3321,69
251,16,11,4423.0,60.4669,31.8198,21.2132,7.5,30.25,15.25,67450.6855,70
98,6,8,13457.0,10.6066,30.9233,7.5,30.9233,19.9883,4.9883,67127.5063,71
14,0,14,1545.0,47.4342,71.1512,22.5,91.5492,58.1586,43.1586,66680.1063,72
28,1,13,1922.0,38.2426,61.8466,16.7705,81.1249,49.4962,34.4962,66301.6216,73
55,3,10,2738.0,27.0416,45.6207,30.0,54.0833,39.1864,24.1864,66222.3787,74
56,3,11,2881.0,23.7171,45.0,22.5,60.4669,37.921,22.921,66035.4122,75
102,6,12,5505.0,0.0,23.7171,23.7171,60.4669,26.9753,11.9753,65923.8861,76
6,0,6,1747.0,57.1183,64.08,33.541,54.6008,52.335,37.335,65224.3193,77
283,18,13,2026.0,78.3023,53.033,40.3887,16.7705,47.1236,32.1236,65082.4912,78
75,5,0,4356.0,31.8198,31.8198,22.5,33.541,29.9202,14.9202,64992.206,79
224,14,14,2856.0,54.0833,37.5,37.5,21.2132,37.5741,22.5741,64471.6814,80
81,5,6,8320.0,27.0416,31.8198,10.6066,21.2132,22.6703,7.6703,63816.9893,81
119,7,14,3281.0,16.7705,27.0416,30.0,63.6396,34.3629,19.3629,63529.8018,82
29,1,14,1697.0,40.3887,64.08,15.0,87.4643,51.7333,36.7333,62336.3433,83
267,17,12,2763.0,69.1466,42.4264,30.9233,7.5,37.4991,22.4991,62164.9321,84
255,17,0,2911.0,43.7321,7.5,48.0234,45.6207,36.2191,21.2191,61768.72,85
227,15,2,8571.0,23.7171,10.6066,27.0416,27.0416,22.1017,7.1017,60868.9992,86
49,3,4,4504.0,38.2426,38.2426,7.5,30.0,28.4963,13.4963,60787.4396,87
180,12,0,7144.0,22.5,30.9233,30.0,10.6066,23.5075,8.5075,60777.3905,88
280,18,10,3084.0,69.1466,37.5,21.2132,10.6066,34.6166,19.6166,60497.5856,89
90,6,0,4947.0,27.0416,27.0416,23.7171,30.9233,27.1809,12.1809,60258.9664,90
275,18,5,3129.0,47.4342,30.9233,27.0416,30.9233,34.0806,19.0806,59703.1848,91
16,1,1,1812.0,54.6008,54.6008,31.8198,50.3115,47.8332,32.8332,59493.8413,92
8,0,8,1385.0,53.033,70.7549,42.4264,60.4669,56.6703,41.6703,57713.3679,93
266,17,11,2808.0,67.9154,37.5,23.7171,10.6066,34.9348,19.9348,55976.829,94
43,2,13,1968.0,30.9233,54.6008,10.6066,77.2172,43.337,28.337,55767.1885,95
47,3,2,3339.0,38.2426,38.2426,16.7705,33.541,31.6992,16.6992,55758.6473,96
176,11,11,14790.0,23.7171,7.5,16.7705,27.0416,18.7573,3.7573,55570.5663,97
247,16,7,10159.0,42.4264,15.0,7.5,16.7705,20.4242,5.4242,55104.7442,98
74,4,14,2348.0,21.2132,43.7321,7.5,78.3023,37.6869,22.6869,53268.8655,99
209,13,14,2448.0,48.0234,33.541,38.2426,27.0416,36.7122,21.7122,53151.4242,100
70,4,10,2861.0,21.2132,38.2426,23.7171,50.3115,33.3711,18.3711,52559.7613,101
206,13,11,6104.0,38.2426,16.7705,16.7705,22.5,23.5709,8.5709,52316.8743,102
237,15,12,3473.0,54.6008,33.541,23.7171,7.5,29.8397,14.8397,51538.3877,103
296,19,11,1681.0,79.7261,48.0234,31.8198,21.2132,45.1956,30.1956,50758.8599,104
210,14,0,4919.0,27.0416,16.7705,33.541,23.7171,25.2676,10.2676,50506.1356,105
299,19,14,1196.0,87.7852,63.6396,50.3115,27.0416,57.1945,42.1945,50464.6291,106
63,4,3,6447.0,30.0,30.0,7.5,23.7171,22.8043,7.8043,50314.1326,107
20,1,5,1703.0,54.0833,54.6008,23.7171,45.6207,44.5055,29.5055,50247.8217,108
19,1,4,1759.0,53.033,53.033,22.5,45.0,43.3915,28.3915,49940.6561,109
248,16,8,12677.0,48.0234,16.7705,0.0,10.6066,18.8501,3.8501,48808.1719,110
0,0,0,1138.0,64.08,64.08,42.4264,60.4669,57.7633,42.7633,48664.6912,111
220,14,10,7428.0,45.0,16.7705,7.5,16.7705,21.5103,6.5103,48358.1735,112
45,3,0,1974.0,43.7321,43.7321,27.0416,42.4264,39.2331,24.2331,47836.0999,113
64,4,4,7828.0,30.9233,30.9233,0.0,22.5,21.0866,6.0866,47646.2656,114
80,5,5,10319.0,27.0416,27.0416,7.5,16.7705,19.5884,4.5884,47348.1613,115
191,12,11,9253.0,30.9233,10.6066,15.0,23.7171,20.0617,5.0617,46836.3181,116
99,6,9,9198.0,7.5,27.0416,7.5,38.2426,20.0711,5.0711,46643.704,117
38,2,8,1608.0,38.2426,57.1183,30.9233,48.0234,43.5769,28.5769,45951.6828,118
235,15,10,4415.0,52.5,21.2132,10.6066,16.7705,25.2726,10.2726,45353.4352,119
250,16,10,3415.0,60.0,27.0416,15.0,10.6066,28.1621,13.1621,44948.4317,120
205,13,10,9853.0,37.5,15.0,10.6066,15.0,19.5267,4.5267,44601.0867,121
233,15,8,10570.0,43.7321,10.6066,7.5,15.0,19.2097,4.2097,44496.3729,122
37,2,7,1673.0,40.3887,54.0833,27.0416,43.7321,41.3114,26.3114,44019.0471,123
115,7,10,10460.0,7.5,16.7705,7.5,45.0,19.1926,4.1926,43854.8832,124
279,18,9,2822.0,63.6396,33.541,16.7705,7.5,30.3628,15.3628,43353.7791,125
260,17,5,2781.0,40.3887,27.0416,23.7171,30.0,30.2869,15.2869,42512.7667,126
62,4,2,4286.0,30.9233,30.9233,10.6066,27.0416,24.8737,9.8737,42318.7003,127
161,10,11,9648.0,16.7705,7.5,21.2132,31.8198,19.3259,4.3259,41736.0864,128
264,17,9,4555.0,58.5769,27.0416,10.6066,0.0,24.0563,9.0563,41251.3427,129
256,17,1,2475.0,40.3887,0.0,43.7321,42.4264,31.6368,16.6368,41176.1308,130
208,13,13,2517.0,43.7321,27.0416,30.9233,23.7171,31.3535,16.3535,41161.8529,131
268,17,13,1521.0,71.1512,48.0234,37.5,10.6066,41.8203,26.8203,40793.707,132
291,19,6,1809.0,57.1183,38.2426,27.0416,27.0416,37.3611,22.3611,40451.1457,133
71,4,11,2148.0,16.7705,37.5,23.7171,57.1183,33.7765,18.7765,40331.8632,134
295,19,10,1584.0,74.2462,43.7321,27.0416,16.7705,40.4476,25.4476,40309.0363,135
144,9,9,13963.0,10.6066,15.0,15.0,30.9233,17.8825,2.8825,40247.9772,136
207,13,12,3349.0,40.3887,21.2132,23.7171,22.5,26.9548,11.9548,40036.4761,137
150,10,0,4186.0,27.0416,27.0416,33.541,10.6066,24.5577,9.5577,40008.6269,138
24,1,9,1094.0,43.7321,61.8466,40.3887,58.5769,51.1361,36.1361,39532.8749,139
262,17,7,4353.0,48.0234,22.5,10.6066,15.0,24.0325,9.0325,39318.509,140
52,3,7,1924.0,33.541,48.0234,22.5,37.5,35.3911,20.3911,39232.5011,141
271,18,1,1681.0,47.4342,7.5,50.3115,48.0234,38.3173,23.3173,39196.3503,142
44,2,14,1259.0,33.541,57.1183,7.5,83.8525,45.503,30.503,38403.2352,143
234,15,9,5129.0,50.3115,16.7705,7.5,15.0,22.3955,7.3955,37931.5699,144
136,9,1,7360.0,16.7705,16.7705,31.8198,15.0,20.0902,5.0902,37463.9177,145
105,7,0,3366.0,23.7171,23.7171,27.0416,30.0,26.1189,11.1189,37426.3853,146
286,19,1,1199.0,54.6008,15.0,57.1183,54.0833,45.2006,30.2006,36210.5169,147
12,0,12,898.0,45.0,67.9154,27.0416,79.7261,54.9208,39.9208,35848.8597,148
229,15,4,5332.0,23.7171,23.7171,22.5,16.7705,21.6762,6.6762,35597.3314,149
261,17,6,3004.0,43.7321,23.7171,16.7705,22.5,26.6799,11.6799,35086.5184,150
25,1,10,1004.0,40.3887,60.4669,33.541,63.6396,49.5091,34.5091,34647.1111,151
9,0,9,800.0,50.3115,69.1466,43.7321,64.5174,56.9269,41.9269,33541.5383,152
258,17,3,2085.0,37.5,15.0,38.2426,33.541,31.0709,16.0709,33507.8609,153
121,8,1,6669.0,15.0,15.0,27.0416,22.5,19.8854,4.8854,32580.7902,154
225,15,0,2562.0,31.8198,10.6066,37.5,30.9233,27.7124,12.7124,32569.2323,155
129,8,9,12815.0,7.5,16.7705,7.5,38.2426,17.5033,2.5033,32079.6491,156
1,0,1,800.0,61.8466,61.8466,37.5,57.1183,54.5779,39.5779,31662.2934,157
7,0,7,800.0,54.6008,67.082,37.5,57.1183,54.0753,39.0753,31260.2324,158
269,17,14,968.0,73.8664,54.0833,43.7321,16.7705,47.1131,32.1131,31085.4691,159
298,19,13,800.0,85.5132,58.5769,43.7321,23.7171,52.8848,37.8848,30307.8502,160
284,18,14,800.0,80.7775,58.5769,47.4342,21.2132,52.0004,37.0004,29600.3426,161
72,4,12,1581.0,15.0,38.2426,16.7705,64.08,33.5233,18.5233,29285.3311,162
5,0,5,800.0,60.4669,61.8466,30.9233,53.033,51.5675,36.5675,29253.9637,163
15,1,0,800.0,57.1183,57.1183,37.5,54.0833,51.455,36.455,29163.9731,164
4,0,4,800.0,60.4669,60.4669,30.0,52.5,50.8585,35.8585,28686.7732,165
131,8,11,7400.0,7.5,7.5,16.7705,43.7321,18.8757,3.8757,28679.9007,166
96,6,6,9151.0,21.2132,27.0416,7.5,16.7705,18.1313,3.1313,28654.8645,167
196,13,1,6320.0,16.7705,22.5,23.7171,15.0,19.4969,4.4969,28420.3958,168
61,4,1,2021.0,33.541,33.541,16.7705,31.8198,28.9181,13.9181,28128.457,169
297,19,12,800.0,83.8525,53.033,37.5,22.5,49.2214,34.2214,27377.1115,170
97,6,7,10315.0,16.7705,30.0,0.0,23.7171,17.6219,2.6219,27044.8786,171
285,19,0,800.0,57.1183,16.7705,60.4669,58.5769,48.2332,33.2332,26586.5228,172
91,6,1,4466.0,21.2132,21.2132,16.7705,23.7171,20.7285,5.7285,25583.4801,173
76,5,1,2705.0,27.0416,27.0416,15.0,27.0416,24.0312,9.0312,24429.4661,174
21,1,6,800.0,50.3115,57.1183,27.0416,47.4342,45.4764,30.4764,24381.1255,175
231,15,6,6079.0,31.8198,10.6066,16.7705,16.7705,18.9919,3.9919,24266.4965,176
113,7,8,11102.0,7.5,23.7171,7.5,30.0,17.1793,2.1793,24194.2623,177
17,1,2,800.0,53.033,53.033,27.0416,47.4342,45.1355,30.1355,24108.3633,178
287,19,2,864.0,53.033,16.7705,50.3115,50.3115,42.6066,27.6066,23852.1407,179
194,12,14,1112.0,42.4264,30.9233,37.5,33.541,36.0977,21.0977,23460.6198,180
146,9,11,9931.0,10.6066,0.0,21.2132,37.5,17.33,2.33,23138.7462,181
181,12,1,6115.0,15.0,30.0,22.5,7.5,18.75,3.75,22931.25,182
232,15,7,8558.0,37.5,7.5,10.6066,15.0,17.6517,2.6517,22692.8244,183
254,16,14,814.0,67.082,48.0234,40.3887,15.0,42.6236,27.6236,22485.5712,184
212,14,2,5198.0,16.7705,16.7705,21.2132,22.5,19.3136,4.3136,22421.8629,185
77,5,2,5518.0,23.7171,23.7171,7.5,21.2132,19.0368,4.0368,22275.2946,186
42,2,12,800.0,30.0,53.033,16.7705,70.7549,42.6396,27.6396,22111.6754,187
246,16,6,2672.0,37.5,16.7705,15.0,23.7171,23.2469,8.2469,22035.7116,188
143,9,8,18055.0,7.5,10.6066,16.7705,30.0,16.2193,1.2193,22014.0623,189
241,16,1,1812.0,33.541,0.0,37.5,37.5,27.1353,12.1353,21989.0819,190
289,19,4,884.0,53.033,27.0416,37.5,40.3887,39.4908,24.4908,21649.9068,191
270,18,0,800.0,50.3115,10.6066,54.0833,53.033,42.0086,27.0086,21606.8818,192
135,9,0,2044.0,23.7171,23.7171,37.5,16.7705,25.4262,10.4262,21311.0888,193
31,2,1,800.0,47.4342,47.4342,27.0416,43.7321,41.4105,26.4105,21128.4207,194
272,18,2,965.0,45.6207,10.6066,47.4342,43.7321,36.8484,21.8484,21083.712,195
288,19,3,800.0,52.5,21.2132,43.7321,47.4342,41.2199,26.2199,20975.9015,196
281,18,11,800.0,75.0,42.4264,27.0416,16.7705,40.3096,25.3096,20247.7103,197
142,9,7,12545.0,10.6066,7.5,21.2132,27.0416,16.5904,1.5904,19951.0653,198
159,10,9,13033.0,16.7705,10.6066,15.0,23.7171,16.5235,1.5235,19856.4076,199
239,15,14,800.0,60.4669,42.4264,38.2426,16.7705,39.4766,24.4766,19581.2992,200
290,19,5,800.0,54.6008,33.541,31.8198,33.541,38.3757,23.3757,18700.5337,201
111,7,6,15311.0,16.7705,22.5,10.6066,15.0,16.2193,1.2193,18668.3637,202
104,6,14,950.0,15.0,31.8198,22.5,69.1466,34.6166,19.6166,18635.7673,203
32,2,2,800.0,45.6207,45.6207,21.2132,40.3887,38.2108,23.2108,18568.6755,204
230,15,5,3293.0,27.0416,16.7705,23.7171,15.0,20.6323,5.6323,18547.186,205
58,3,13,800.0,23.7171,47.4342,7.5,73.8664,38.1294,23.1294,18503.5362,206
223,14,13,1062.0,50.3115,31.8198,30.0,16.7705,32.2255,17.2255,18293.4397,207
160,10,10,11509.0,15.0,7.5,16.7705,27.0416,16.578,1.578,18161.6175,208
263,17,8,2281.0,53.033,23.7171,7.5,7.5,22.9375,7.9375,18105.4894,209
216,14,6,11320.0,27.0416,7.5,21.2132,10.6066,16.5904,1.5904,18002.8744,210
120,8,0,1776.0,22.5,22.5,31.8198,23.7171,25.1342,10.1342,17998.3781,211
126,8,6,20104.0,15.0,15.0,16.7705,16.7705,15.8853,0.8853,17797.1648,212
253,16,13,800.0,64.08,43.7321,33.541,7.5,37.2133,22.2133,17770.6374,213
294,19,9,800.0,69.1466,40.3887,23.7171,15.0,37.0631,22.0631,17650.4804,214
165,11,0,2078.0,23.7171,31.8198,30.9233,7.5,23.49,8.49,17642.3134,215
245,16,5,1763.0,33.541,21.2132,22.5,22.5,24.9386,9.9386,17521.6738,216
228,15,3,2848.0,22.5,16.7705,23.7171,21.2132,21.0502,6.0502,17230.9666,217
145,9,10,12883.0,7.5,7.5,16.7705,33.541,16.3279,1.3279,17107.1086,218
33,2,3,800.0,45.0,45.0,16.7705,38.2426,36.2533,21.2533,17002.6312,219
151,10,1,3987.0,21.2132,21.2132,27.0416,7.5,19.242,4.242,16912.8953,220
293,19,8,800.0,64.5174,38.2426,22.5,16.7705,35.5076,20.5076,16406.1191,221
134,8,14,800.0,21.2132,23.7171,37.5,58.5769,35.2518,20.2518,16201.4317,222
166,11,1,8550.0,16.7705,27.0416,23.7171,0.0,16.8823,1.8823,16093.7224,223
249,16,9,2052.0,54.0833,21.2132,7.5,7.5,22.5741,7.5741,15542.0904,224
60,4,0,800.0,37.5,37.5,23.7171,37.5,34.0543,19.0543,15243.4165,225
238,15,13,800.0,57.1183,37.5,30.9233,10.6066,34.037,19.037,15229.6384,226
257,17,2,944.0,38.2426,7.5,40.3887,37.5,30.9078,15.9078,15017.0062,227
106,7,1,3191.0,16.7705,16.7705,21.2132,22.5,19.3136,4.3136,13764.5565,228
276,18,6,800.0,50.3115,30.9233,21.2132,23.7171,31.5413,16.5413,13233.0215,229
240,16,0,800.0,37.5,7.5,42.4264,38.2426,31.4173,16.4173,13133.8106,230
213,14,3,5366.0,15.0,21.2132,16.7705,16.7705,17.4386,2.4386,13085.2903,231
219,14,9,7438.0,45.6207,10.6066,0.0,10.6066,16.7085,1.7085,12707.6787,232
259,17,4,800.0,38.2426,22.5,30.9233,30.9233,30.6473,15.6473,12517.8461,233
277,18,7,800.0,54.0833,30.0,16.7705,16.7705,29.4061,14.4061,11524.8578,234
112,7,7,13646.0,10.6066,22.5,7.5,22.5,15.7767,0.7767,10598.1718,235
236,15,11,800.0,53.033,27.0416,16.7705,10.6066,26.8629,11.8629,9490.3509,236
195,13,0,1047.0,23.7171,23.7171,30.9233,16.7705,23.782,8.782,9194.7453,237
137,9,2,11021.0,10.6066,10.6066,27.0416,15.0,15.8137,0.8137,8967.8924,238
242,16,2,800.0,30.9233,7.5,33.541,31.8198,25.946,10.946,8756.8234,239
214,14,4,7168.0,16.7705,22.5,15.0,10.6066,16.2193,1.2193,8739.7839,240
243,16,3,800.0,30.0,15.0,30.9233,27.0416,25.7412,10.7412,8592.9854,241
141,9,6,14912.0,16.7705,7.5,16.7705,21.2132,15.5636,0.5636,8403.7437,242
197,13,2,5409.0,10.6066,23.7171,16.7705,15.0,16.5235,1.5235,8240.8738,243
125,8,5,16023.0,15.0,15.0,21.2132,10.6066,15.455,0.455,7289.6845,244
95,6,5,7844.0,21.2132,21.2132,10.6066,10.6066,15.9099,0.9099,7137.2758,245
190,12,10,16093.0,30.0,7.5,7.5,16.7705,15.4426,0.4426,7123.2037,246
218,14,8,9589.0,40.3887,7.5,7.5,7.5,15.7222,0.7222,6925.0225,247
211,14,1,800.0,21.2132,15.0,27.0416,22.5,21.4387,6.4387,5150.9676,248
130,8,10,12195.0,0.0,10.6066,10.6066,40.3887,15.4005,0.4005,4883.913,249
79,5,4,7214.0,23.7171,23.7171,0.0,15.0,15.6085,0.6085,4390.0164,250
127,8,7,13938.0,7.5,15.0,15.0,23.7171,15.3043,0.3043,4240.9238,251
78,5,3,8140.0,22.5,22.5,0.0,16.7705,15.4426,0.4426,3602.9875,252
152,10,2,4739.0,16.7705,16.7705,21.2132,7.5,15.5636,0.5636,2670.6908,253
182,12,2,6528.0,7.5,30.9233,15.0,7.5,15.2308,0.2308,1506.8129,254
215,14,5,11684.0,21.2132,15.0,16.7705,7.5,15.1209,0.1209,1412.9265,255
92,6,2,5338.0,16.7705,16.7705,10.6066,16.7705,15.2295,0.2295,1225.2461,256
204,13,9,6336.0,38.2426,7.5,7.5,7.5,15.1857,0.1857,1176.3518,257
198,13,3,8200.0,7.5,27.0416,10.6066,15.0,15.0371,0.0371,303.8844,258
153,10,3,10246.0,15.0,15.0,16.7705,10.6066,14.3443,0.0,0.0,279
154,10,4,13787.0,16.7705,15.0,10.6066,16.7705,14.7869,0.0,0.0,279
155,10,5,20415.0,21.2132,7.5,7.5,22.5,14.6783,0.0,0.0,279
167,11,2,9406.0,10.6066,23.7171,16.7705,0.0,12.7735,0.0,0.0,279
138,9,3,16453.0,7.5,7.5,21.2132,16.7705,13.2459,0.0,0.0,279
156,10,6,17711.0,21.2132,0.0,10.6066,23.7171,13.8842,0.0,0.0,279
140,9,5,17032.0,16.7705,10.6066,15.0,16.7705,14.7869,0.0,0.0,279
185,12,5,17379.0,15.0,16.7705,7.5,7.5,11.6926,0.0,0.0,279
184,12,4,12856.0,7.5,21.2132,0.0,10.6066,9.83,0.0,0.0,279
139,9,4,21206.0,10.6066,10.6066,16.7705,15.0,13.2459,0.0,0.0,279
128,8,8,14847.0,0.0,16.7705,10.6066,30.9233,14.5751,0.0,0.0,279
122,8,2,8994.0,7.5,7.5,23.7171,16.7705,13.8719,0.0,0.0,279
123,8,3,14240.0,0.0,0.0,22.5,10.6066,8.2767,0.0,0.0,279
124,8,4,15257.0,7.5,7.5,22.5,7.5,11.25,0.0,0.0,279
200,13,5,12305.0,16.7705,16.7705,10.6066,0.0,11.0369,0.0,0.0,279
201,13,6,15976.0,23.7171,10.6066,16.7705,7.5,14.6485,0.0,0.0,279
202,13,7,13035.0,30.9233,7.5,10.6066,0.0,12.2575,0.0,0.0,279
189,12,9,17667.0,30.9233,10.6066,0.0,10.6066,13.0341,0.0,0.0,279
186,12,6,15175.0,22.5,10.6066,10.6066,10.6066,13.58,0.0,0.0,279
187,12,7,12070.0,30.0,7.5,7.5,7.5,13.125,0.0,0.0,279
188,12,8,11296.0,30.0,7.5,0.0,7.5,11.25,0.0,0.0,279
199,13,4,9567.0,10.6066,23.7171,7.5,7.5,12.3309,0.0,0.0,279
203,13,8,14067.0,37.5,0.0,7.5,0.0,11.25,0.0,0.0,279
183,12,3,12468.0,0.0,27.0416,7.5,10.6066,11.2871,0.0,0.0,279
158,10,8,16137.0,15.0,7.5,15.0,22.5,15.0,0.0,0.0,279
157,10,7,20332.0,16.7705,0.0,16.7705,22.5,14.0103,0.0,0.0,279
175,11,10,13601.0,22.5,0.0,10.6066,21.2132,13.58,0.0,0.0,279
174,11,9,11936.0,23.7171,7.5,7.5,16.7705,13.8719,0.0,0.0,279
173,11,8,13382.0,22.5,7.5,7.5,15.0,13.125,0.0,0.0,279
172,11,7,15772.0,23.7171,0.0,10.6066,15.0,12.3309,0.0,0.0,279
171,11,6,17561.0,23.7171,7.5,7.5,16.7705,13.8719,0.0,0.0,279
170,11,5,13494.0,16.7705,10.6066,0.0,15.0,10.5943,0.0,0.0,279
169,11,4,13067.0,10.6066,16.7705,7.5,15.0,12.4693,0.0,0.0,279
168,11,3,10450.0,7.5,22.5,10.6066,7.5,12.0267,0.0,0.0,279
94,6,4,5757.0,16.7705,16.7705,7.5,7.5,12.1353,0.0,0.0,279
93,6,3,8013.0,15.0,15.0,7.5,10.6066,12.0267,0.0,0.0,279
114,7,9,13720.0,0.0,21.2132,0.0,37.5,14.6783,0.0,0.0,279
110,7,5,14626.0,16.7705,16.7705,16.7705,7.5,14.4529,0.0,0.0,279
107,7,2,6708.0,10.6066,10.6066,16.7705,15.0,13.2459,0.0,0.0,279
